date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"University of Melbourne",3.203388105664361,1
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"Monash University",3.1402420803983873,2
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"University of Sydney",2.4286057882258127,3
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"The University of Queensland",2.798723390880275,4
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"UNSW",2.714819241607779,5
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"Macquarie University",4.894053799491052,6
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"Deakin University",3.559357802680686,7
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"NSW Department of Education",2.3498566751715524,8
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"Department of Education & Training, Victoria",3.765852126326631,9
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"University of Technology Sydney",3.242448155637338,10
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"RMIT University",2.266987031710194,11
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"Curtin University",3.6935822597710817,12
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"QUT (Queensland University of Technology)",2.396660656922196,13
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"University of Adelaide",3.329905299379638,14
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"TAFE NSW",2.615197494767827,15
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"Griffith University",2.1084426467022666,16
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"The Australian National University",2.6786139925142884,17
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"The University of Western Australia",2.854145002356825,18
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"University of Newcastle",3.2115965230004,19
2020-08-01,au,"Australia","All","Education",Top Trending Employers,"Australian Catholic University",4.312968806243576,20
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Teacher",11.816064814070536,1
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Lecturer",6.498524124791327,2
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Academic Tutor",2.899005661518515,3
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Professor",2.8925003867555366,4
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Postdoctoral Researcher",2.5973680986374177,5
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Early Childhood Educator",1.3087242654996345,6
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Support Associate",1.242915667697411,7
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Research Officer",1.1643358986449306,8
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Software Engineer",1.1608507523211264,9
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Teaching Associate",0.9800063511357371,10
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Project Manager",0.9686520851911067,11
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Psychologist",0.8959095213175483,12
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Administrative Officer",0.8799474451477878,13
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Mathematics Tutor",0.8634442526685925,14
2020-08-01,au,"Australia","All","Education",Top Trending Jobs,"Early Childhood Teacher",0.8041348541950205,15
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Teaching",-1,1
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Curriculum Development",-1,2
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"JavaScript",-1,3
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Stakeholder Management",-1,4
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Project Delivery",-1,5
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Administration",-1,6
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Office Administration",-1,7
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Cognitive Behavioral Therapy (CBT)",-1,8
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Psychological Assessment",-1,9
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Public Speaking",-1,10
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Mental Health",-1,11
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Early Childhood Education",-1,12
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Case Management",-1,13
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Scientific Writing",-1,14
2020-08-01,au,"Australia","All","Education",Top Trending Skills,"Qualitative Research",-1,15
