date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,au,"Australia","All","Legal",Top Trending Employers,"HWL Ebsworth Lawyers",6.174260793520654,1
2020-12-01,au,"Australia","All","Legal",Top Trending Employers,"MinterEllison",2.6043023866543447,2
2020-12-01,au,"Australia","All","Legal",Top Trending Employers,"Herbert Smith Freehills",3.339635382905612,3
2020-12-01,au,"Australia","All","Legal",Top Trending Jobs,"Lawyer",20.666007628948698,1
2020-12-01,au,"Australia","All","Legal",Top Trending Jobs,"Paralegal",15.792505750280714,2
2020-12-01,au,"Australia","All","Legal",Top Trending Jobs,"Solicitor",12.489861804131886,3
2020-12-01,au,"Australia","All","Legal",Top Trending Jobs,"Law Clerk",11.144077993585078,4
2020-12-01,au,"Australia","All","Legal",Top Trending Jobs,"Legal Associate",3.8890084944421575,5
2020-12-01,au,"Australia","All","Legal",Top Trending Jobs,"Legal Secretary",2.738459823168194,6
2020-12-01,au,"Australia","All","Legal",Top Trending Skills,"Legal Advice",-1,1
2020-12-01,au,"Australia","All","Legal",Top Trending Skills,"Legal Research",-1,2
2020-12-01,au,"Australia","All","Legal",Top Trending Skills,"Legal Writing",-1,3
