date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Jobs,"Physical Therapist",9.88948277320813,1
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Jobs,"Occupational Therapist",4.107783667017897,2
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Jobs,"Exercise Physiologist",3.827168950195328,3
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Jobs,"Personal Trainer",3.4938209658686983,4
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Jobs,"Psychologist",2.5981965616663145,5
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Jobs,"Receptionist",2.220208357457206,6
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Jobs,"Nurse",2.0904396710816484,7
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Rehabilitation",-1,1
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Physical Therapy",-1,2
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Personal Training",-1,3
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Receptionist Duties",-1,4
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Office Administration",-1,5
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Cognitive Behavioral Therapy (CBT)",-1,6
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Fitness",-1,7
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Occupational Therapy",-1,8
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Psychological Assessment",-1,9
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Nursing",-1,10
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Exercise Physiology",-1,11
2020-12-01,au,"Australia","All","Wellness & Fitness",Top Trending Skills,"Exercise Prescription",-1,12
