date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Employers,"Bega Cheese Limited",34.231655755203974,1
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Employers,"Australian Department of Defence",4.77906992188889,2
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Employers,"UGL",3.895738642128278,3
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Employers,"Boeing",3.4686225348193718,4
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Employers,"KBR, Inc.",7.168218386175407,5
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Employers,"BAE Systems Australia",3.482323613662272,6
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Project Manager",3.354612255312935,1
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Business Development Manager",3.2121429054496464,2
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Sales Manager",2.2352582895618407,3
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Account Manager",1.6915386946053077,4
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Operations Manager",1.4729332182713888,5
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Project Engineer",1.4706746549159762,6
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Salesperson",1.4129664135423474,7
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Mechanical Engineer",1.3552547106979622,8
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Electrician",1.2582568262182383,9
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"General Manager",1.2371778438497818,10
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"System Engineer",1.201103787000006,11
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Business Manager",0.9631848299436295,12
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Software Engineer",0.8787060928070914,13
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Sales Executive",0.8641921747997364,14
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Electrical Engineer",0.8356271076250562,15
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Accountant",0.8284900914993161,16
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Sales Engineer",0.8146593824865491,17
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Jobs,"Business Analyst",0.7493035465641767,18
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Account Management",-1,1
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Business Analysis",-1,2
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Sales Management",-1,3
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"JavaScript",-1,4
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Operations Management",-1,5
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"MYOB",-1,6
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Stakeholder Management",-1,7
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Project Delivery",-1,8
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Change Management",-1,9
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Electrical Wiring",-1,10
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Requirements Gathering",-1,11
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Project Engineering",-1,12
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Contract Management",-1,13
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Commissioning",-1,14
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Active Directory",-1,15
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"VMware",-1,16
2021-03-01,au,"Australia","All","Manufacturing",Top Trending Skills,"Electrical Design",-1,17
