date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"Downer",2.0618575020819736,1
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"Downer",2.0006690180756586,2
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"Mott MacDonald",10.058784086626524,3
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"Mott MacDonald",8.993197609824854,4
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"Monadelphous",2.1550760841441585,5
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"Laing O'Rourke",3.1595258110910613,6
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"Monadelphous",1.8278798628296327,7
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"Metricon",4.553116577265957,8
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"John Holland",1.4507850951533585,9
2021-04-01,au,"Australia","All","Construction",Top Trending Employers,"Laing O'Rourke",2.849323642085309,10
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Project Manager",7.867368692276436,1
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Project Manager",7.447491844064362,2
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Contract Administrator",4.272931311639726,3
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Project Engineer",4.0912905995896995,4
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Project Engineer",4.085370402952143,5
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Contract Administrator",4.057582394010766,6
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Business Development Manager",2.574485399358748,7
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Business Development Manager",2.382173155484993,8
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Site Engineer",2.3629027739899757,9
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Civil Engineer",2.2263241041952484,10
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Site Engineer",2.166036331663671,11
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Civil Engineer",2.0485764288269976,12
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Operations Manager",1.8262678541591464,13
2021-04-01,au,"Australia","All","Construction",Top Trending Jobs,"Cadet",1.7288863998375865,14
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Operations Management",-1,1
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Operations Management",-1,2
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Stakeholder Management",-1,3
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Stakeholder Management",-1,4
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Stakeholder Management",-1,5
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Stakeholder Management",-1,6
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Account Management",-1,7
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Account Management",-1,8
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Account Management",-1,9
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Account Management",-1,10
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Project Delivery",-1,11
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Project Delivery",-1,12
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Project Delivery",-1,13
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Project Delivery",-1,14
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Change Management",-1,15
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Change Management",-1,16
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Project Engineering",-1,17
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Project Engineering",-1,18
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Project Engineering",-1,19
2021-04-01,au,"Australia","All","Construction",Top Trending Skills,"Project Engineering",-1,20
