date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Victorian Department of Health",3.2312693636993495,1
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Victorian Department of Health",3.0906922526542844,2
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Department of Justice and Community Safety, Victoria",2.816794835956131,3
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Department of Justice and Community Safety, Victoria",2.6715899203706535,4
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Australian Taxation Office",1.6040157902700198,5
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Department of Jobs, Precincts and Regions",4.1396964978307995,6
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Australian Taxation Office",1.4002053385740847,7
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Department of Jobs, Precincts and Regions",3.5946662691360265,8
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Australian Government Department of Education, Skills and Employment (DESE)",4.328974201437827,9
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"NSW Department of Customer Service",3.3156595341744968,10
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Department of Environment, Land, Water and Planning",2.371397709698991,11
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Australian Government Department of Education, Skills and Employment (DESE)",3.9031599546934097,12
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"NSW Department of Planning, Industry and Environment",1.25286822312362,13
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Department of Environment, Land, Water and Planning",2.1313277205131698,14
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"NSW Department of Planning, Industry and Environment",1.2050876737669585,15
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Service NSW",3.295765980780897,16
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"NSW Department of Customer Service",2.841595881895479,17
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Australian Department of Health",3.641286255429352,18
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Service NSW",2.998913335560565,19
2021-04-01,au,"Australia","All","Public Administration",Top Trending Employers,"Australian Department of Health",3.490758459952814,20
2021-04-01,au,"Australia","All","Public Administration",Top Trending Jobs,"Service Officer",4.050514725305109,1
2021-04-01,au,"Australia","All","Public Administration",Top Trending Jobs,"Service Officer",3.851742987838891,2
2021-04-01,au,"Australia","All","Public Administration",Top Trending Jobs,"Project Manager",3.6346026767634076,3
2021-04-01,au,"Australia","All","Public Administration",Top Trending Jobs,"Project Manager",3.372080895918369,4
2021-04-01,au,"Australia","All","Public Administration",Top Trending Jobs,"Policy Officer",3.2630771324821195,5
2021-04-01,au,"Australia","All","Public Administration",Top Trending Jobs,"Policy Officer",2.9914881993102256,6
2021-04-01,au,"Australia","All","Public Administration",Top Trending Jobs,"Customer Service Representative",2.445892589281103,7
2021-04-01,au,"Australia","All","Public Administration",Top Trending Jobs,"Customer Service Representative",2.3351296994313406,8
2021-04-01,au,"Australia","All","Public Administration",Top Trending Jobs,"Support Associate",2.1957555132605524,9
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Stakeholder Management",-1,1
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Stakeholder Management",-1,2
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Stakeholder Management",-1,3
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Stakeholder Management",-1,4
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Project Delivery",-1,5
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Project Delivery",-1,6
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Project Delivery",-1,7
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Project Delivery",-1,8
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Time Management",-1,9
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Time Management",-1,10
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Time Management",-1,11
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Time Management",-1,12
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Policy Analysis",-1,13
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Policy Analysis",-1,14
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Policy Analysis",-1,15
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Policy Analysis",-1,16
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Stakeholder Engagement",-1,17
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Stakeholder Engagement",-1,18
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Stakeholder Engagement",-1,19
2021-04-01,au,"Australia","All","Public Administration",Top Trending Skills,"Stakeholder Engagement",-1,20
