date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Employers,"Department of Health & Human Services, Victoria",15.77637311436646,1
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Employers,"Department of Justice and Community Safety, Victoria",10.3781573899935,2
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Employers,"Department of Jobs, Precincts and Regions",10.528523539184505,3
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Employers,"Department of Environment, Land, Water and Planning",6.417100086652186,4
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Employers,"Moreland City Council",24.066920364506014,5
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Employers,"WorkSafe Victoria",10.086068025375587,6
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Employers,"City of Whittlesea",21.543363395348866,7
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Employers,"Department of Premier and Cabinet (Vic)",7.6857340658943745,8
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Jobs,"Support Associate",4.4251558283735735,1
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Jobs,"Project Manager",3.9211911554456997,2
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Jobs,"Policy Officer",3.7543716257135586,3
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Jobs,"Communications Advisor",2.5781802386105737,4
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Jobs,"Public Health Officer",2.3503201827550244,5
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Skills,"Stakeholder Management",-1,1
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Skills,"Project Delivery",-1,2
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Skills,"Policy Analysis",-1,3
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Skills,"Stakeholder Engagement",-1,4
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Skills,"Mental Health",-1,5
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Skills,"Case Management",-1,6
2020-09-01,au,"Australia","Greater Melbourne Area","Public Administration",Top Trending Skills,"Internal Communications",-1,7
