date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Employers,"Accenture",11.853136033633305,1
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Employers,"Infosys",5.874136304822683,2
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Employers,"Accenture Australia",11.110283629908526,3
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Employers,"MYOB",7.911756836462172,4
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Employers,"Xero",11.204083168991282,5
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Employers,"Capgemini",9.835939596241747,6
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Employers,"Wipro Limited",11.93013798961804,7
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Employers,"Zendesk",14.588759446040397,8
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Software Engineer",9.49693447567147,1
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Business Analyst",2.858701356176541,2
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Project Manager",2.6631073664084153,3
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Business Development Manager",1.90692808954915,4
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Solutions Architect",1.7455025581514572,5
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Account Executive",1.4097646030619613,6
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Account Manager",1.27906656230374,7
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Technical Consultant",1.1501925715785681,8
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Marketing Manager",0.9998113745206841,9
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Product Manager",0.9921863764746575,10
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Data Scientist",0.9913043022891227,11
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Jobs,"Customer Success Manager",0.9823182920457718,12
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Account Management",-1,1
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Business Analysis",-1,2
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"JavaScript",-1,3
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Stakeholder Management",-1,4
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Project Delivery",-1,5
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Marketing Strategy",-1,6
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Requirements Gathering",-1,7
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Digital Marketing",-1,8
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Solution Architecture",-1,9
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Product Development",-1,10
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Integration",-1,11
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Machine Learning",-1,12
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Data Science",-1,13
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Requirements Analysis",-1,14
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Commercial Insurance",-1,15
2021-05-01,au,"Australia","Greater Melbourne Area","Software & IT Services",Top Trending Skills,"Customer Relationship Management (CRM)",-1,16
