date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,be,"Belgium","All","Finance",Top Trending Employers,"Belfius",4.438747922119739,1
2020-01-01,be,"Belgium","All","Finance",Top Trending Employers,"BNP Paribas Fortis",1.811412814991526,2
2020-01-01,be,"Belgium","All","Finance",Top Trending Employers,"ING",2.022408760889171,3
2020-01-01,be,"Belgium","All","Finance",Top Trending Employers,"AG Insurance",4.046417266513582,4
2020-01-01,be,"Belgium","All","Finance",Top Trending Employers,"Euroclear",4.63203743282821,5
2020-01-01,be,"Belgium","All","Finance",Top Trending Employers,"Argenta",6.681867715452518,6
2020-01-01,be,"Belgium","All","Finance",Top Trending Employers,"KBC Bank & Verzekering",1.1353759712334714,7
2020-01-01,be,"Belgium","All","Finance",Top Trending Employers,"Partenamut",17.637970195152075,8
2020-01-01,be,"Belgium","All","Finance",Top Trending Jobs,"Financial Advisor",5.077302377201005,1
2020-01-01,be,"Belgium","All","Finance",Top Trending Jobs,"Account Manager",2.4653345236495823,2
2020-01-01,be,"Belgium","All","Finance",Top Trending Skills,"Account Management",-1,1
2020-01-01,be,"Belgium","All","Finance",Top Trending Skills,"Business-to-Business (B2B)",-1,2
