date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Employers,"Toyota Motor Europe",4.518448647687203,1
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Jobs,"Project Manager",3.8490719800815754,1
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Jobs,"Project Engineer",3.3221410090851484,2
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Jobs,"Account Manager",2.5015957067717185,3
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Jobs,"Sales Manager",1.9615853684842306,4
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Jobs,"Sales Advisor",1.7155124327140323,5
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Jobs,"Software Engineer",1.4857762866920374,6
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Jobs,"Salesperson",1.3057646334694573,7
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Skills,"Project Management",-1,1
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Skills,"Account Management",-1,2
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Skills,"Sales Management",-1,3
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Skills,"Business-to-Business (B2B)",-1,4
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Skills,"JavaScript",-1,5
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Skills,"Project Engineering",-1,6
2020-09-01,be,"Belgium","All","Manufacturing",Top Trending Skills,"Customer Satisfaction",-1,7
