date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Employers,"Deloitte",5.126189757503517,1
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Employers,"PwC",4.562194760375834,2
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Employers,"KPMG Belgium",7.380888307374361,3
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Employers,"AGO Jobs & HR",12.37116397846102,4
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Employers,"BDO Belgium",9.585406136158124,5
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Jobs,"Auditor",11.647132500872488,1
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Jobs,"Human Resources Advisor",3.7881490645116007,2
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Jobs,"Accountant",3.305061949586706,3
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Skills,"Financial Accounting",-1,1
2020-12-01,be,"Belgium","All","Corporate Services",Top Trending Skills,"Auditing",-1,2
