date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Employers,"European Commission",1.6751174754501712,1
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Employers,"European Parliament",3.0272894075203554,2
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Employers,"FOD Financiën - SPF Finances",2.8032627622663733,3
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Employers,"VDAB",2.2956543644614764,4
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Employers,"FOD Justitie SPF Justice",3.2648781872745953,5
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Jobs,"Policy Officer",6.0664289540767715,1
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Jobs,"Project Manager",5.0284639396133715,2
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Skills,"Project Management",-1,1
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Skills,"Policy Analysis",-1,2
2021-01-01,be,"Belgium","All","Public Administration",Top Trending Skills,"European Union",-1,3
