date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"European Commission",1.5579978680122253,1
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"Deloitte",5.122837867852368,2
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"European Parliament",3.0650056500306078,3
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"Proximus",2.4170063918142644,4
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"FOD Financiën - SPF Finances",3.8075296798153997,5
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"Université libre de Bruxelles",2.7850657277159874,6
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"GSK",1.6902903012719037,7
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"PwC",4.384633485721836,8
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"Belfius",2.7711307638332974,9
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Employers,"Vrije Universiteit Brussel",2.5823312776383416,10
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Project Manager",3.8166093380143256,1
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.6899053410043317,2
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Business Analyst",1.4397424243407817,3
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Accountant",1.1663446871204053,4
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Software Engineer",1.0722951897926833,6
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Policy Officer",1.0411192477952185,7
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Sales Manager",0.8400891004817239,8
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Attorney",0.8307347624264543,9
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Communications Manager",0.7743315705578679,10
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Salesperson",0.7679911561506382,11
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Product Manager",0.756695491525704,12
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Project Engineer",0.7333408055257757,13
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Key Account Manager",0.719844147013281,14
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Architect",0.6731974001715496,15
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Lawyer",0.6066318468982019,16
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Project Associate",0.5895026139527996,17
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Communications Officer",0.5651324188370014,18
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Business Development Manager",0.557715883100952,19
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Jobs,"Business Manager",0.5466592536243794,20
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Project Management",-1,1
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Account Management",-1,2
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Sales Management",-1,3
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Business-to-Business (B2B)",-1,4
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,5
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Litigation",-1,6
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"SketchUp",-1,7
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Legal Advice",-1,8
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Business Analysis",-1,9
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Financial Accounting",-1,10
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Project Engineering",-1,11
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Legal Research",-1,12
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Policy Analysis",-1,13
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"European Union",-1,14
2021-02-01,be,"Belgium","Brussels Metropolitan Area","All",Top Trending Skills,"Product Development",-1,15
