date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Employers,"Grupo Globo - Mídia e Conteúdo",24.59561381606213,1
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Employers,"SKY Brasil",6.522365880359191,2
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Employers,"Grupo Bandeirantes de Comunicação",10.549682594644958,3
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Jobs,"Reporter",3.4865390000050835,1
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Jobs,"Video Editor",2.9016954418911,2
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Jobs,"Editor",2.749503145953448,3
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Jobs,"Graphic Designer",2.5803433560455518,4
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Skills,"Adobe Illustrator",-1,1
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Skills,"Journalism",-1,2
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Skills,"Editing",-1,3
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Skills,"Video Editing",-1,4
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Skills,"Adobe Premiere Pro",-1,5
2020-01-01,br,"Brazil","All","Entertainment",Top Trending Skills,"Online Journalism",-1,6
