date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,br,"Brazil","All","Legal",Top Trending Employers,"Mattos Filho, Veiga Filho, Marrey Jr. e Quiroga Advogados",8.40825190312504,1
2020-11-01,br,"Brazil","All","Legal",Top Trending Employers,"Machado, Meyer, Sendacz e Opice Advogados",9.146954718468667,2
2020-11-01,br,"Brazil","All","Legal",Top Trending Employers,"Lefosse Advogados",16.263395796381715,3
2020-11-01,br,"Brazil","All","Legal",Top Trending Employers,"TozziniFreire Advogados",6.853350152915569,4
2020-11-01,br,"Brazil","All","Legal",Top Trending Employers,"Lee, Brock e Camargo Advogados",13.776745220005482,5
2020-11-01,br,"Brazil","All","Legal",Top Trending Jobs,"Attorney",54.45398749549027,1
2020-11-01,br,"Brazil","All","Legal",Top Trending Jobs,"Lawyer",4.733953884720261,2
2020-11-01,br,"Brazil","All","Legal",Top Trending Jobs,"Paralegal",3.3130892463822206,3
2020-11-01,br,"Brazil","All","Legal",Top Trending Jobs,"Tax Lawyer",2.5781159808628216,4
2020-11-01,br,"Brazil","All","Legal",Top Trending Jobs,"Employment Lawyer",2.350713079613875,5
2020-11-01,br,"Brazil","All","Legal",Top Trending Jobs,"Law Clerk",2.268554270605768,6
2020-11-01,br,"Brazil","All","Legal",Top Trending Jobs,"Legal Associate",2.0352781740021206,7
2020-11-01,br,"Brazil","All","Legal",Top Trending Jobs,"Commission Member",1.8982079550064301,8
2020-11-01,br,"Brazil","All","Legal",Top Trending Skills,"Litigation",-1,1
2020-11-01,br,"Brazil","All","Legal",Top Trending Skills,"Legal Advice",-1,2
2020-11-01,br,"Brazil","All","Legal",Top Trending Skills,"Labor and Employment Law",-1,3
2020-11-01,br,"Brazil","All","Legal",Top Trending Skills,"Tax Law",-1,4
2020-11-01,br,"Brazil","All","Legal",Top Trending Skills,"Legal Writing",-1,5
2020-11-01,br,"Brazil","All","Legal",Top Trending Skills,"Legal Research",-1,6
