date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"JBS",5.8835901507642685,1
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Seara Alimentos LTDA",10.08471199240885,2
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Klabin",9.527516191368768,3
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Suzano",4.684308754424352,4
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Aeris Energy",14.908264485555152,5
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Cargill",3.4856982987515925,6
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"M. Dias Branco",5.52341974148002,7
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Unidas",7.810235795740432,8
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"BASF",3.5947796966317074,9
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"CNH Industrial",4.212226589038693,10
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Bracell",6.320322385850975,11
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Michelin",6.884882561859605,12
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"FCA Fiat Chrysler Automobiles",2.586544736396071,13
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Mondelēz International",3.853276563993612,14
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Bimbo do Brasil",8.197770511048041,15
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"TIMAC Agro Brasil",9.49194950478471,16
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Louis Dreyfus Company",4.4338855610994585,17
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Unigel",21.418376048737407,18
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Bayer Crop Science",3.310710858443583,19
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Employers,"Marfrig Global Foods",5.743699738690034,20
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Safety Officer",2.9671292089139034,1
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Production Associate",1.8497579697983502,2
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Production Operator",1.84835557852512,3
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Administrative Associate",1.6617360745962004,4
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Salesperson",1.617739037765196,5
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Buyer",1.6135412131568259,6
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Human Resources Analyst",1.5878840514381094,7
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Electrician",1.4662892153438414,8
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Sales Consultant",1.4636484926107691,9
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Mechanic",1.2215002707862304,10
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Sales Executive",1.0644225228512028,11
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Maintenance Mechanic",1.0506096834597414,12
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Maintenance Technician",1.023846501586862,13
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Marketing Analyst",1.012603929517664,14
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Financial Analyst",0.954653702234088,15
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Machinist Mate",0.9544014794462331,16
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Sales Manager",0.9449094570470455,17
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Stock Clerk",0.9181334483396397,18
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Quality Analyst",0.9179691262607204,19
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Jobs,"Quality Inspector",0.8544516017900957,20
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Skills,"Negotiation",-1,1
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Skills,"Administration",-1,2
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Skills,"Sales Management",-1,3
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Skills,"Financial Analysis",-1,4
2020-12-01,br,"Brazil","All","Manufacturing",Top Trending Skills,"Recruiting",-1,5
