date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"MRV",5.20010095354339,1
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"Concremat Engenharia e Tecnologia",7.621760507513045,2
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"Duratex",5.978226424845349,3
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"Votorantim Cimentos",3.9641519922162893,4
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"Arcadis",7.180405912159793,5
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"TRACTEBEL",17.567979096051925,6
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"Portobello Grupo",9.22732944857496,7
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"Direcional Engenharia",4.81042934858096,8
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"seta-engenharia-s-a",14.171025699934422,9
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"Método Engenharia",8.187239026522144,10
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"Even",6.81089400590044,11
2021-02-01,br,"Brazil","All","Construction",Top Trending Employers,"MIP Engenharia S/A",11.105080197599994,12
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Civil Engineer",9.895371940552248,1
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Safety Officer",6.306923457917586,2
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Administrative Associate",1.9063677103177585,3
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Architect",1.6962343161321325,4
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Sales Consultant",1.6528340457985857,5
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Electrician",1.6263508978066852,6
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Buyer",1.5742716554741858,7
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Real Estate Broker",1.3346683449567545,8
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Human Resources Analyst",1.3311201326082025,9
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Stock Clerk",1.1561726451914633,10
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Sales Manager",1.1450966853740092,11
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Salesperson",1.1372841417652708,12
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Planning Technician",1.1190861284372582,13
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Engineering Associate",1.1187684859825726,14
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Tax Examiner",0.9018739750734835,15
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Marketing Analyst",0.8890251632943028,16
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Financial Analyst",0.8875958476191542,17
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Project Manager",0.8441619663947195,18
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Real Estate Consultant",0.8285970498295636,19
2021-02-01,br,"Brazil","All","Construction",Top Trending Jobs,"Planning Engineer",0.7974056061334347,20
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Negotiation",-1,1
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"AutoCAD",-1,2
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Administration",-1,3
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"SketchUp",-1,4
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Sales Management",-1,5
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Financial Analysis",-1,6
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Recruiting",-1,7
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Marketing Strategy",-1,8
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Microsoft Project",-1,9
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Digital Marketing",-1,10
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Accounts Payable",-1,11
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"5S",-1,12
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Electrical Wiring",-1,13
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Microsoft Productivity Suite",-1,14
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Operating Systems",-1,15
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Occupational Health",-1,16
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Preventive Maintenance",-1,17
2021-02-01,br,"Brazil","All","Construction",Top Trending Skills,"Warehouse Operations",-1,18
