date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Grupo Fleury",5.532014428338263,1
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"odontocompany",12.293802332550746,2
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"preventsenior",3.206045968081464,3
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"espaçolaser",6.150756515335053,4
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Grupo Pardini",6.259419401787871,5
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Unimed BH",4.406947557893186,6
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Vitta",23.813883505163158,7
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Sabin Medicina Diagnóstica",6.856944828609603,8
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Hospital São Camilo SP",2.953857323455187,9
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"beepsaude",35.57149338323979,10
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Unimed",2.4276690597019828,11
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"femme-laboratório-da-mulher",11.977386180257549,12
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Gympass",7.6829634125412865,13
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Psyalive - Psicologia Viva",14.159520557230351,14
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"diagnósticos-do-brasil",6.078506620975747,15
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Imtep",7.318052754172534,16
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"unimed-porto-alegre",5.712544702342159,17
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Consultório particular",0.930506791622139,18
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Employers,"Hospital São Luiz - Rede D'Or São Luiz",2.6877006638726932,19
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Nurse",10.67604126364703,1
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Clinical Psychologist",4.372126054297139,2
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Physical Therapist",3.850442509741004,3
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Psychologist",2.9982913856929723,4
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Receptionist",2.8615115206157493,5
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Medical Doctor",2.457350114184302,6
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Biomedical Scientist",2.335554848685294,7
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Pharmacist",1.69696078366889,8
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Sales Consultant",1.5279174329006124,9
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Administrative Associate",1.372129157374627,10
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Nutritionist",1.2554796495084362,11
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Teacher",1.1977842062185653,12
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Dentist",1.1392818869760135,13
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Medical Technician",1.123700244569206,14
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Business Consultant",1.0464502774315914,15
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Human Resources Analyst",1.016832358882149,16
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Marketing Analyst",0.9915470896628689,17
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Jobs,"Commercial Manager",0.8962782136564427,18
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Teaching",-1,1
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Higher Education",-1,2
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Negotiation",-1,3
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Administration",-1,4
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Business Planning",-1,5
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Recruiting",-1,6
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Nursing",-1,7
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Marketing Strategy",-1,8
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Physical Therapy",-1,9
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Receptionist Duties",-1,10
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Digital Marketing",-1,11
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Psychotherapy",-1,12
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Nutrition",-1,13
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Rehabilitation",-1,14
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Counseling Psychology",-1,15
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Clinical Nutrition",-1,16
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Pharmacy",-1,17
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Clinical Pharmacy",-1,18
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Dentistry",-1,19
2021-03-01,br,"Brazil","All","Wellness & Fitness",Top Trending Skills,"Dentists",-1,20
