date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Dasa",3.7044270395836936,1
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Dasa",3.706235295327462,2
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Rede D'Or São Luiz",3.8269426196885297,3
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Rede D'Or São Luiz",3.7388824147196886,4
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Hospital Albert Einstein",2.6618282536089035,5
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Hospital Albert Einstein",2.5669888343815015,6
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Grupo NotreDame Intermédica",2.9052693029855705,7
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Grupo NotreDame Intermédica",2.643328838410918,8
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"EMS",3.7126541519772744,9
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Hapvida Saúde",3.661411285810163,10
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"EMS",3.404896000746846,11
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"UnitedHealth Group",3.187962010349013,12
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"União Química Farmacêutica Nacional",3.9508328292937245,13
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Hapvida Saúde",3.3934312981621204,14
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Hospital Sírio-Libanês",2.9263977945679662,15
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Hypera",3.819778109778412,16
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"UnitedHealth Group",3.0401207754768267,17
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"União Química Farmacêutica Nacional",3.76696271223293,18
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Hypera",3.6485903023469968,19
2021-04-01,br,"Brazil","All","Health Care",Top Trending Employers,"Hospital Sírio-Libanês",2.5853647935684285,20
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Nurse",12.479730502650972,1
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Nurse",12.217949034242059,2
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Field Marketing Representative",3.486093049218801,3
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Field Marketing Representative",3.3806475960408866,4
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Physical Therapist",3.3717406174373634,5
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Physical Therapist",3.228106831884472,6
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Medical Doctor",2.4729562440485666,7
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Medical Doctor",2.4333501650641134,8
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Pharmacist",2.1074647688733985,9
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Receptionist",2.1053534318189997,10
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Pharmacist",2.0749246524640057,11
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Psychologist",2.0094778901229318,12
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Salesperson",1.9635356567952702,13
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Psychologist",1.9188192322200064,14
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Receptionist",1.9148551378584031,15
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Salesperson",1.785059248454042,16
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Sales Consultant",1.34679110674409,17
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Sales Consultant",1.3366153394408344,18
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Administrative Associate",1.3092667700831013,19
2021-04-01,br,"Brazil","All","Health Care",Top Trending Jobs,"Medical Technician",1.2919646563295657,20
2021-04-01,br,"Brazil","All","Health Care",Top Trending Skills,"Negotiation",-1,1
2021-04-01,br,"Brazil","All","Health Care",Top Trending Skills,"Negotiation",-1,2
2021-04-01,br,"Brazil","All","Health Care",Top Trending Skills,"Negotiation",-1,3
2021-04-01,br,"Brazil","All","Health Care",Top Trending Skills,"Negotiation",-1,4
