date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Employers,"CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",5.450822478133708,1
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Attorney",10.43997260994446,1
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Teacher",9.482949933799825,2
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Legal Advisor",3.3924705288867782,3
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Secretary",3.0530406208352887,4
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Nurse",2.1919074907574885,5
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Technical Advisor",1.5321126129684146,6
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Communications Advisor",1.4796609002176528,7
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Psychologist",1.4583493091828261,8
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Commission Member",1.3439790241638117,9
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Jobs,"Civil Servant",1.3248063453388768,10
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Teaching",-1,1
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Legal Writing",-1,2
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Legal Advice",-1,3
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Higher Education",-1,4
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Microsoft Productivity Suite",-1,5
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Nursing",-1,6
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Psychotherapy",-1,7
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Strategic Planning",-1,8
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Company Secretarial Work",-1,9
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Journalism",-1,10
2021-05-01,br,"Brazil","All","Public Administration",Top Trending Skills,"Press Office",-1,11
