date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Employers,"Stefanini Brasil",14.302241567581673,1
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Employers,"Universidade de Brasília",3.9976286575622515,2
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Employers,"Autônomo",17.981124554740557,3
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Employers,"Brazilian Army (Exército Brasileiro)",5.839164436659989,4
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Jobs,"Teacher",5.2013127371878225,1
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Jobs,"Attorney",3.232920840892301,2
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Jobs,"System Analyst",1.8857085385767227,3
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Jobs,"Administrative Associate",1.3773001279297437,4
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Jobs,"Secretary",1.3027338829250794,5
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Jobs,"Nurse",1.2314117153586635,6
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Jobs,"Sales Consultant",1.191961991664588,7
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Jobs,"Salesperson",1.0592575942338247,8
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Jobs,"Software Engineer",1.0199471123332078,9
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Teaching",-1,1
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Litigation",-1,2
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Legal Advice",-1,3
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Negotiation",-1,4
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Higher Education",-1,5
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"SQL",-1,6
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Administration",-1,7
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"JavaScript",-1,8
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Microsoft SQL Server",-1,9
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Microsoft Productivity Suite",-1,10
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Git",-1,11
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Nursing",-1,12
2020-02-01,br,"Brazil","Greater Brasilia","All",Top Trending Skills,"Company Secretarial Work",-1,13
