date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Employers,"CI&T",9.774891466107142,1
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Employers,"Itaú Unibanco",6.336057774263672,2
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Employers,"CPFL Energia",4.326329741347106,3
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Employers,"Bosch Brasil",6.988491058172759,4
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Employers,"Universidade Estadual de Campinas",2.3921785792243258,5
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Employers,"John Deere",5.798928222914718,6
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Employers,"Instituto de Pesquisas Eldorado",8.42532373392805,7
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Employers,"iFood",9.470877759688365,8
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Employers,"Villares Metals",14.680451634572453,9
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Software Engineer",3.475623301370777,1
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Teacher",1.9692957327126355,2
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Sales Consultant",1.4693339017488796,3
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Human Resources Analyst",1.4310065324051995,4
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Attorney",1.2584486542386693,5
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Nurse",1.2088012431591924,6
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Business Consultant",1.1919437625025024,7
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Safety Officer",1.1640160731017457,8
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Marketing Analyst",0.9779928787999116,9
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Buyer",0.9180175198909306,10
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Sales Executive",0.9167505277332023,11
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Salesperson",0.8580379888804619,12
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Logistics Analyst",0.8562246196604716,13
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Support Analyst",0.8520316066710311,14
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"System Analyst",0.8486831006793906,15
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Sales Manager",0.8396606785818334,16
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Financial Analyst",0.8272998446408805,17
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Account Executive",0.7959721615000852,18
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Administrative Associate",0.7826944386311048,19
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Jobs,"Commercial Manager",0.7575107672866964,20
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Teaching",-1,1
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Legal Writing",-1,2
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Legal Advice",-1,3
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Negotiation",-1,4
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Higher Education",-1,5
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"SQL",-1,6
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Administration",-1,7
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"JavaScript",-1,8
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Microsoft SQL Server",-1,9
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Git",-1,10
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Business Planning",-1,11
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Sales Management",-1,12
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Financial Analysis",-1,13
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Operating Systems",-1,14
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Recruiting",-1,15
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Nursing",-1,16
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Windows",-1,17
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Marketing Strategy",-1,18
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Digital Marketing",-1,19
2021-03-01,br,"Brazil","Greater Campinas","All",Top Trending Skills,"Accounts Payable",-1,20
