date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Vivo (Telefônica Brasil)",5.940663242436186,1
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Grupo Boticário",5.151132771524583,2
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Universidade Federal do Paraná",5.218464188881418,3
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Pontifícia Universidade Católica do Paraná",6.912812653376364,4
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Autônomo",14.202202988170779,5
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"EBANX",15.357061861570184,6
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"ExxonMobil",6.455000235863384,7
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Groupe Renault",4.477955228403469,8
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Positivo Tecnologia",9.978624307286795,9
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"BRF",6.072195154651426,10
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Electrolux",5.0263659518337205,11
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Olist",30.27246891414836,12
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"positivosolucoesdidaticas",14.540236307028936,13
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"madeiramadeira",13.080746998461965,14
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Employers,"Condor Super Center Ltda.",11.188911575568103,15
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Teacher",4.0063963053085,1
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Attorney",1.6987102428308452,2
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Administrative Associate",1.5719475144973645,3
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Sales Consultant",1.5072043302752187,4
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Business Consultant",1.3800379016327486,5
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Salesperson",1.3445273536285312,6
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"System Analyst",1.3255369979144778,7
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Software Engineer",1.1615048599431144,8
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Sales Manager",1.1182404326077817,9
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Nurse",1.0869435787081765,10
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Financial Analyst",1.0163760237111603,11
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Commercial Manager",0.9589496342737212,12
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Human Resources Analyst",0.9586605859547315,13
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Sales Executive",0.954938385326067,14
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"English Teacher",0.8837377104805616,15
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Pharmacist",0.822673491161725,16
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Graphic Designer",0.8158297407621738,17
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Owner Associate",0.8030574194893447,18
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Marketing Analyst",0.7910011212202571,19
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Jobs,"Safety Officer",0.7157131189859481,20
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Teaching",-1,1
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Litigation",-1,2
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Legal Advice",-1,3
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Negotiation",-1,4
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Higher Education",-1,5
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"SQL",-1,6
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Administration",-1,7
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"JavaScript",-1,8
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Microsoft SQL Server",-1,9
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Strategic Planning",-1,10
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Adobe Illustrator",-1,11
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Git",-1,12
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Business Planning",-1,13
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Sales Management",-1,14
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Financial Analysis",-1,15
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Recruiting",-1,16
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Nursing",-1,17
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Marketing Strategy",-1,18
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Digital Marketing",-1,19
2020-02-01,br,"Brazil","Greater Curitiba","All",Top Trending Skills,"Accounts Payable",-1,20
