date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Employers,"Universidade Federal do Paraná",8.599961509927642,1
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Employers,"Pontifícia Universidade Católica do Paraná",8.212001232148229,2
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Employers,"Autônomo",12.344645824841589,3
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Jobs,"Teacher",25.67660064639512,1
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Jobs,"Professor",6.860741228647917,2
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Jobs,"English Teacher",6.553463645468234,3
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Skills,"Teaching",-1,1
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Skills,"Higher Education",-1,2
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Skills,"English Teaching",-1,3
2020-03-01,br,"Brazil","Greater Curitiba","Education",Top Trending Skills,"English as a Second Language (ESL)",-1,4
