date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Employers,"everis",170.53243670682366,1
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Employers,"deliverymuchbrasil",55.39342601350673,2
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Employers,"exact-sales",24.299765848899614,3
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Jobs,"Software Engineer",12.319834261439432,1
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Jobs,"Sales Development Representative",4.402391354052203,2
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Jobs,"Back End Developer",3.574191715024354,3
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Skills,"JavaScript",-1,1
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Skills,"Git",-1,2
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Skills,"Node.js",-1,3
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Skills,"Sales Prospecting",-1,4
2020-12-01,br,"Brazil","Greater Florianopolis","Software & IT Services",Top Trending Skills,"Outbound Marketing",-1,5
