date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Employers,"Aeris Energy",16.905437080481263,1
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Employers,"Hapvida Saúde",7.757715292786658,2
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Employers,"Instituto Atlântico",22.52443989602673,3
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Employers,"M. Dias Branco",6.873607899416203,4
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Employers,"Mob Telecom",18.464405330241014,5
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Employers,"Empreendimentos Pague Menos SA",9.529042268684865,6
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Jobs,"Software Engineer",2.810306828134173,1
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Jobs,"System Analyst",2.0793195826242497,2
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Jobs,"Attorney",1.5809073209030764,3
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Jobs,"Administrative Associate",1.547899019222016,4
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Jobs,"Safety Officer",1.3704848622141825,5
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Jobs,"Sales Consultant",1.3246310004375503,6
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Jobs,"Full Stack Engineer",1.2465292066544285,7
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Jobs,"Human Resources Analyst",1.229638459693323,8
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Jobs,"Salesperson",1.212511404507395,9
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"Litigation",-1,1
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"Legal Advice",-1,2
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"Negotiation",-1,3
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"SQL",-1,4
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"Administration",-1,5
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"JavaScript",-1,6
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"Microsoft SQL Server",-1,7
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"Git",-1,8
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"Recruiting",-1,9
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"5S",-1,10
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"Node.js",-1,11
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"React.js",-1,12
2020-11-01,br,"Brazil","Greater Fortaleza","All",Top Trending Skills,"Occupational Health",-1,13
