date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Employers,"Universidade Federal da Bahia",5.320887040796248,1
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Jobs,"Teacher",5.856586027177443,1
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Jobs,"Attorney",2.691127710815416,2
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Jobs,"Administrative Associate",2.0592455163969174,3
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Jobs,"Nurse",1.6667073357423086,4
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Jobs,"Sales Consultant",1.4249823131829868,5
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Jobs,"System Analyst",1.3867366337846125,6
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Skills,"Teaching",-1,1
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Skills,"Litigation",-1,2
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Skills,"Legal Advice",-1,3
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Skills,"Higher Education",-1,4
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Skills,"SQL",-1,5
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Skills,"Administration",-1,6
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Skills,"Microsoft SQL Server",-1,7
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Skills,"Negotiation",-1,8
2020-03-01,br,"Brazil","Greater Salvador","All",Top Trending Skills,"Nursing",-1,9
