date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Jobs,"Civil Engineer",9.755066138073856,1
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Jobs,"Architect",4.599639698623677,2
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Jobs,"Administrative Associate",3.0357513052269134,3
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Jobs,"Safety Officer",2.9240660684178432,4
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Jobs,"Real Estate Broker",2.828450369362515,5
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Skills,"AutoCAD",-1,1
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Skills,"Administration",-1,2
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Skills,"SketchUp",-1,3
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Skills,"Negotiation",-1,4
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Skills,"5S",-1,5
2020-02-01,br,"Brazil","Greater São Paulo Area","Construction",Top Trending Skills,"Occupational Health",-1,6
