date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"Mercado Livre Brasil",20.228798598695846,1
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"Concentrix",16.903570376866842,2
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"ClearSale",24.85056290082669,3
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"everis",12.756975854470445,4
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"iFood",14.137521503771358,5
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"BRQ Digital Solutions",11.116298612271688,6
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"zupinnovation",28.374013153108628,7
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"Amazon",15.988332566937597,8
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"B2W Digital",9.534089492803476,9
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"QuintoAndar",10.671399958979908,10
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"mercadolibre",18.551178138892556,11
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"Wipro Limited",12.053236759563084,12
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"Indra",5.0881776492843604,13
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"GFT Group",14.273866462150417,14
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"Accenture",3.9560505962941006,15
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"neobpo",6.465842381574821,16
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"TIVIT",3.7937476541741235,17
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"Liq",8.974444355354281,18
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"Rappi",12.976072159304744,19
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Employers,"stone-pagamentos",8.906451764272791,20
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Software Engineer",4.240400753720559,1
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"System Analyst",3.395172628349514,2
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Support Analyst",1.9899111297124537,3
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Frontend Developer",1.8625827328916211,4
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Customer Service Representative",1.723918226951875,5
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Project Manager",1.5839576635288164,6
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Account Manager",1.4632242765376728,7
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Business Analyst",1.21338343552915,8
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Test Analyst",1.167250213304673,9
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Product Owner",1.0967384091484291,10
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Sales Development Representative",0.9427006148805341,11
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Full Stack Engineer",0.8986343418638293,12
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Infrastructure Analyst",0.890513581114483,13
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Customer Service Analyst",0.8725410128851138,14
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Proof Operator",0.8331263318325921,15
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Account Executive",0.797221095828945,16
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Operations Analyst",0.7904562453821482,17
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Data Engineer",0.7817650145499739,18
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Information Technology Analyst",0.7735827162072474,19
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Jobs,"Marketing Analyst",0.7679741832387648,20
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"SQL",-1,1
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"JavaScript",-1,2
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"Microsoft SQL Server",-1,3
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"Git",-1,4
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"Operating Systems",-1,5
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"Windows",-1,6
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"Marketing Strategy",-1,7
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"Negotiation",-1,8
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"Microsoft Project",-1,9
2020-08-01,br,"Brazil","Greater São Paulo Area","Software & IT Services",Top Trending Skills,"Digital Marketing",-1,10
