date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"PepsiCo",6.101730301232196,1
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"goodfood-market",29.352397502399054,2
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"Arbonne",8.219090328491793,3
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"Tim Hortons",2.7846018999291817,4
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"Labatt Breweries of Canada",5.612754443225441,5
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"SAQ",6.412561042799145,6
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"Nordia Inc.",6.049347617960654,7
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"Apple",1.8070178287047056,8
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"Molson Coors Beverage Company",5.209114722517844,9
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Employers,"Apollo Health and Beauty Care",27.792135197638135,10
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Jobs,"Salesperson",4.153393337319972,1
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Jobs,"Customer Service Representative",2.6303968098136097,2
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Jobs,"Cashier",1.998093054835505,3
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Jobs,"Software Engineer",1.5205665583532009,4
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Jobs,"Account Manager",1.3254894881175439,5
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Jobs,"Sales Manager",1.313477717890286,6
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Jobs,"Graphic Designer",1.220500907775961,7
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Jobs,"Marketing Manager",1.134196375502844,8
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Skills,"Time Management",-1,1
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Skills,"JavaScript",-1,2
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Skills,"Adobe Illustrator",-1,3
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Skills,"Account Management",-1,4
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Skills,"Sales Management",-1,5
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Skills,"Marketing Strategy",-1,6
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Skills,"Cashiering",-1,7
2020-06-01,ca,"Canada","All","Consumer Goods",Top Trending Skills,"Social Media Marketing",-1,8
