date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"SNC-Lavalin",3.4149193830359104,1
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"EllisDon",5.599868920568665,2
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Aecon Group Inc.",4.871531892954717,3
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"WSP in Canada",2.7562982481614364,4
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Ledcor",4.191746363625022,5
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Kiewit",5.521986145732959,6
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Modern Niagara",11.792693827122932,7
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"EXP",6.955700373211907,8
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"PCL Construction",4.066584889874974,9
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Englobe",7.904897472319618,10
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Pomerleau",6.955035447060536,11
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"GHD",8.008150158749142,12
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"CIMA+",4.879504370596364,13
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Black & McDonald Limited",6.176389154952431,14
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Hatch",2.63252067825014,15
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Fluor Corporation",3.624045673955457,16
2020-08-01,ca,"Canada","All","Construction",Top Trending Employers,"Graham",5.045876803086875,17
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Project Manager",9.363247813111096,1
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Electrician",2.394428194445392,2
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Project Associate",2.0945179752167986,3
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Foreman",1.8572925930527686,4
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Project Engineer",1.2669622945113725,5
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Carpenter",1.2348854206394269,6
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Salesperson",1.172685068743785,7
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Heavy Equipment Operator",1.061017215495749,8
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Accountant",1.0545255074243582,9
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Pipefitter",0.8673423480596241,10
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Structural Engineer",0.8515745664277217,11
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Field Engineer",0.824729585920601,12
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Office Administrator",0.8242421115299211,13
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Account Manager",0.8171758978750516,14
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Construction Manager",0.8145969586589684,15
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Project Estimator",0.7952009595176841,16
2020-08-01,ca,"Canada","All","Construction",Top Trending Jobs,"Plumber",0.7904872632996142,17
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Time Management",-1,1
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Project Planning",-1,2
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Account Management",-1,3
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Financial Reporting",-1,4
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Construction Management",-1,5
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Electrical Wiring",-1,6
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Office Administration",-1,7
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Project Engineering",-1,8
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Construction Safety",-1,9
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Carpentry",-1,10
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Heavy Equipment",-1,11
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Renovation",-1,12
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Contract Management",-1,13
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Piping",-1,14
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Plumbing",-1,15
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Structural Engineering",-1,16
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Project Estimation",-1,17
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Pipefitting",-1,18
2020-08-01,ca,"Canada","All","Construction",Top Trending Skills,"Structural Analysis",-1,19
