date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"Hydro Québec",4.523613350368734,1
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"BOMBARDIER",2.322278167902927,2
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"Magna International",6.676245281840984,3
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"Tesla",21.511539144549246,4
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"GAOTek Inc.",66.38491393721971,5
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"MDA",7.313471886624076,6
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"Maple Leaf Foods Inc",3.9418304435411127,7
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"Toyota Motor Manufacturing Canada",7.752639038531645,8
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"Seaspan ULC",7.0048546002336955,9
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"Ritchie Bros.",7.434183180897838,10
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"General Motors",3.1744193543260337,11
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Employers,"Linamar Corporation",5.677958375235953,12
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Software Engineer",2.221861444994264,1
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Project Manager",1.9245384536457082,2
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Sales Manager",1.6905304188728782,3
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Salesperson",1.6868293737604498,4
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Production Associate",1.621400189031473,5
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Account Manager",1.2701896485657103,6
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Customer Service Representative",1.1451944320712149,7
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Human Resources Administrator",1.0310135800913662,8
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Buyer",0.9246551352583787,9
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Mechanical Designer",0.8921759462284151,10
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Mechanical Engineer",0.8686387455523282,11
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Sales Consultant",0.8264429059553307,12
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Production Supervisor",0.8157959564122834,13
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Accountant",0.8056724292261145,14
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Financial Analyst",0.8027757653606242,15
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Project Associate",0.7575633922073669,16
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Business Development Manager",0.7328379548538564,17
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Sales Executive",0.7267850225417768,18
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"General Manager",0.6890240500667795,19
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Jobs,"Finance Manager",0.6468290082641224,20
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Time Management",-1,1
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"JavaScript",-1,2
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Project Planning",-1,3
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Account Management",-1,4
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Sales Management",-1,5
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Financial Reporting",-1,6
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Construction Management",-1,7
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Team Building",-1,8
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Financial Analysis",-1,9
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Inventory Management",-1,10
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Continuous Improvement",-1,11
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Customer Satisfaction",-1,12
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"SOLIDWORKS",-1,13
2020-11-01,ca,"Canada","All","Manufacturing",Top Trending Skills,"Recruiting",-1,14
