date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"Deloitte Canada",9.12201971885078,1
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"MNP",14.663427299783768,2
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"PwC Canada",7.445133005485048,3
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"PwC",4.567203790055874,4
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"Grant Thornton LLP (Canada)",10.409578494518664,5
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"Morneau Shepell",3.584891360171364,6
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"ADP",6.603757975454484,7
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"24-7 Intouch",10.926106751275231,8
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"Bench Accounting",15.307374340860457,9
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"Paladin Security Group Ltd",4.73464443923802,10
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"Grant Thornton LLP",8.451755135029956,11
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"BGIS",2.9531755994188655,12
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Employers,"Teleperformance",5.42231241952077,13
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Accountant",12.990799344577864,1
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Customer Service Representative",1.9273531567375046,2
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Project Manager",1.8820964882051232,3
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Security Guard",1.878111232081096,4
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Tax Analyst",1.3875995823991707,5
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Accounting Technician",1.3374884468698267,6
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Business Analyst",1.336777798497992,7
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Auditor",1.2971802517141782,8
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Tax Associate",1.137593744718137,9
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Assurance Associate",1.0037506786369912,10
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Salesperson",0.9947246395625007,11
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Software Engineer",0.9935938421423214,12
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Account Manager",0.9567543642783891,13
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Security Officer",0.9103898300103682,14
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Bookkeeper",0.9019852236937912,15
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Accounting Associate",0.7122108705808525,16
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Business Development Manager",0.710663577868559,17
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Tax Accountant",0.7060554900716669,18
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Tax Manager",0.6728425886786382,19
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Jobs,"Project Associate",0.6581925248764717,20
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Time Management",-1,1
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"JavaScript",-1,2
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Project Planning",-1,3
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Account Management",-1,4
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Financial Reporting",-1,5
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Business Analysis",-1,6
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Construction Management",-1,7
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Requirements Gathering",-1,8
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Bookkeeping",-1,9
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"QuickBooks",-1,10
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Sales Management",-1,11
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Security",-1,12
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Physical Security",-1,13
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Auditing",-1,14
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Corporate Tax",-1,15
2021-03-01,ca,"Canada","All","Corporate Services",Top Trending Skills,"Income Tax",-1,16
