date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Employers,"Invest Ottawa",23.767490606642603,1
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Employers,"AIESEC Canada",26.18902880575183,2
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Employers,"AIESEC",26.475319413319575,3
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Jobs,"Support Associate",2.1520064686926634,1
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Jobs,"Project Manager",1.7728284069817444,2
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Jobs,"Communications Coordinator",1.3485917790294202,3
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Jobs,"Program Coordinator",1.1922512221889285,4
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Jobs,"Graphic Designer",1.1188232432849006,5
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Skills,"Project Planning",-1,1
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Skills,"Adobe Illustrator",-1,2
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Skills,"Construction Management",-1,3
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Skills,"Nonprofit Organizations",-1,4
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Skills,"Cardiopulmonary Resuscitation (CPR)",-1,5
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Skills,"Program Development",-1,6
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Skills,"Event Planning",-1,7
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Skills,"Crisis Intervention",-1,8
2021-03-01,ca,"Canada","All","Nonprofit",Top Trending Skills,"Strategic Communications",-1,9
