date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"City of Toronto",1.5486842347067518,1
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"City of Toronto",1.4709467147007225,2
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"Region of Peel",4.371598624393987,3
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"Region of Peel",4.307462573882055,4
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"Statistics Canada",2.808173008938194,5
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"Canada Revenue Agency - Agence du revenu du Canada",1.0830947831532975,6
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"Canada Revenue Agency - Agence du revenu du Canada",1.0018833615653806,7
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"Statistics Canada",2.448308295135888,8
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"City of Ottawa",1.8818099106639143,9
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Employers,"City of Ottawa",1.8767657086191154,10
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Jobs,"Customer Service Representative",3.732687070455492,1
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Jobs,"Customer Service Representative",3.4735791322155216,2
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Jobs,"Policy Analyst",2.6077824358852872,3
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Skills,"Time Management",-1,1
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Skills,"Time Management",-1,2
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Skills,"Time Management",-1,3
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Skills,"Time Management",-1,4
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Skills,"Policy Analysis",-1,5
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Skills,"Policy Analysis",-1,6
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Skills,"Public Policy",-1,7
2021-04-01,ca,"Canada","All","Public Administration",Top Trending Skills,"Public Policy",-1,8
