date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Loblaw Companies Limited",4.84134407612729,1
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Walmart Canada",4.47008104371091,2
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Shoppers Drug Mart",3.6513630677803937,3
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"The Home Depot",7.391448182124477,4
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"The Home Depot Canada",6.487373084605073,5
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"lululemon",4.683097723540272,6
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Starbucks",2.871392877201968,7
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"SSENSE",16.27283813902223,8
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Sobeys",2.9931004237584293,9
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Aritzia",6.902597764399878,10
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"TJX Canada – Winners, Marshalls, HomeSense",3.7354824199920755,11
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Metro Inc.",3.549050712882579,12
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"RONA",7.063681675723108,13
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"LCBO",4.430598838026072,14
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Lowe's Companies, Inc.",5.279802224962063,15
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Staples Canada",3.668236885413547,16
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"OSL Retail Services",5.982901959068094,17
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Home Hardware Stores Limited",7.220927288913193,18
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Best Buy Canada",2.690870928943834,19
2021-05-01,ca,"Canada","All","Retail",Top Trending Employers,"Save-On-Foods",3.739165106993461,20
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Salesperson",11.51146757265703,1
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Cashier",5.805671578781818,2
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Customer Service Representative",3.9683912104309904,3
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Store Manager",2.185740920293776,4
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Barista",2.083862633146036,5
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Warehouse Associate",1.417939121016447,6
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Sales Manager",1.4068383059593057,7
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Store Associate",1.40233031900263,8
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Sales Consultant",1.1640106594061528,9
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Pharmacist",1.1444445438864577,10
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"General Manager",1.1121328049437085,11
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Customer Associate",1.1020742735693831,12
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Merchandiser",1.0413861074268775,13
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Software Engineer",0.942752476374435,14
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Project Manager",0.8980955005402772,15
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Retail Salesperson",0.866189387139326,16
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Fulfillment Associate",0.8540220156689386,17
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Account Manager",0.8152223200625877,18
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Buyer",0.7849392668726415,19
2021-05-01,ca,"Canada","All","Retail",Top Trending Jobs,"Graphic Designer",0.7619133952746504,20
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Time Management",-1,1
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"JavaScript",-1,2
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Project Planning",-1,3
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Adobe Illustrator",-1,4
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Account Management",-1,5
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Sales Management",-1,6
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Construction Management",-1,7
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Team Building",-1,8
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Store Management",-1,9
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Visual Merchandising",-1,10
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Cashiering",-1,11
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Pharmacy",-1,12
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Inventory Management",-1,13
2021-05-01,ca,"Canada","All","Retail",Top Trending Skills,"Customer Satisfaction",-1,14
