date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Employers,"University of Alberta",1.7129435916466893,1
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Employers,"Alberta Health Services",1.8321366918386701,2
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Employers,"Government of Alberta",1.3973337470206444,3
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Jobs,"Project Manager",1.9012347589089336,1
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Jobs,"Software Engineer",1.6230561206497032,2
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",1.6180092857499324,3
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Jobs,"Cashier",1.5755735186279252,4
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Jobs,"Accountant",1.4136431060796275,5
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.4066638505671745,6
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,1
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Skills,"Project Planning",-1,2
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Skills,"Time Management",-1,3
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Skills,"Account Management",-1,4
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Skills,"Financial Reporting",-1,5
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Skills,"Construction Management",-1,6
2020-05-01,ca,"Canada","Greater Edmonton Metropolitan Area","All",Top Trending Skills,"Cashiering",-1,7
