date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Desjardins",5.438125162312822,1
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"McGill University",6.634679735306492,2
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"National Bank of Canada",3.9471960711099556,3
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Université de Montréal",5.957331348795709,4
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Hydro Québec",5.293756366153918,5
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Concordia University",7.056662388634795,6
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Ville de Montréal",3.7469853272247207,7
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Université du Québec à Montréal",5.70967258920165,8
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"CIUSSS du Centre-Sud-de-l'Île-de-Montréal",7.221696727845953,9
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"SSENSE",17.42155056446368,10
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"HEC Montréal",8.619626278668125,11
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"BOMBARDIER",2.693767160226329,12
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"ubisoft-montreal",5.256797159313053,13
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Polytechnique Montréal",7.922458137111317,14
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Videotron",4.809167131382787,15
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"RBC",4.247028564176049,16
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Bell",2.6459342757020754,17
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"Ubisoft",5.474959550433925,18
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"goodfood-market",18.030449895410687,19
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Employers,"chu-sainte-justine",10.263047867928872,20
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Software Engineer",2.576220477882691,1
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Project Manager",2.2591198314340994,2
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Project Associate",1.6200662703684632,3
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",1.618952926724261,4
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Teacher",1.6005190695562592,5
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Salesperson",1.2069083358332293,6
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Accountant",0.7878666289010495,7
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Full Stack Engineer",0.7196589398126103,9
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Graphic Designer",0.7156534768652033,10
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Account Manager",0.7053931075757884,11
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Business Analyst",0.6685988380536215,12
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Financial Analyst",0.6675461907867403,13
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"General Manager",0.6113263628624858,14
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Attorney",0.5993576495699589,15
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Financial Advisor",0.5938346063330494,16
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Editor",0.5716773756756688,17
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Accounting Technician",0.5381079975583449,18
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Production Associate",0.5201110314703341,19
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Jobs,"Director Of Operations",0.5138415686017652,20
2020-10-01,ca,"Canada","Greater Montreal Metropolitan Area","All",Top Trending Skills,"Teaching",-1,1
