date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Amazon",15.899049095452785,1
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Ryerson University",11.349006991952281,2
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"CIBC",2.4627019761301514,3
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"TD",1.5830247882359423,4
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"RBC",2.2546379945995167,5
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"BMO Financial Group",2.927797640220805,6
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"York University",7.681261212799541,7
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Loblaw Companies Limited",7.26438429961883,8
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Bell",4.560930974073628,9
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"University Health Network",4.872534283912362,10
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Rogers Communications",2.218721399328001,11
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Shopify",10.908790327196431,12
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Concentrix",43.36787938864189,13
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"The Hospital for Sick Children",4.777544385639473,14
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"City of Toronto",2.081035928748171,15
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Trillium Health Partners",11.702251860111865,16
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Sunnybrook",5.269618645438346,17
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Sun Life",3.8518501165343255,18
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"Sheridan College",10.962432556670013,19
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Employers,"TELUS",3.2031787845113318,20
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Software Engineer",3.060912978229336,1
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Salesperson",1.7178694739886369,2
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Project Manager",1.6293561948632118,3
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Customer Service Representative",1.3785302288818264,4
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Teacher",1.2904118677748402,5
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Account Manager",1.0386881658884783,6
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Nurse",0.9623750311831429,7
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Account Executive",0.8666894028734974,8
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Business Analyst",0.8593631096645283,9
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Real Estate Agent",0.8232742695856662,10
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Accountant",0.8047877721338097,11
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Professor",0.673881521117169,12
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Financial Analyst",0.6668258643794406,13
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Graphic Designer",0.6432846754505341,14
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Cashier",0.605718912195076,15
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Product Manager",0.5861937591288893,16
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Full Stack Engineer",0.5629412282186838,17
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Writer",0.561258104756425,18
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Jobs,"Data Analyst",0.5149861240278687,20
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Teaching",-1,1
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Time Management",-1,2
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"JavaScript",-1,3
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Project Planning",-1,4
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Adobe Illustrator",-1,5
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Account Management",-1,6
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Curriculum Development",-1,7
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Financial Reporting",-1,8
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Business Analysis",-1,9
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Writing",-1,10
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Construction Management",-1,11
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Residential Real Estate",-1,12
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Editing",-1,13
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Financial Analysis",-1,14
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,15
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Higher Education",-1,16
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Cashiering",-1,17
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Data Analysis",-1,18
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Requirements Gathering",-1,19
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","All",Top Trending Skills,"Public Speaking",-1,20
