date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"CIBC",2.5167966021129766,1
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"TD",1.5913287366242561,2
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"RBC",2.2723272675934556,3
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"BMO Financial Group",2.9189118272379173,4
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"Sun Life",3.885358418506081,5
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"Questrade Financial Group",19.070365728899187,6
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"Citi",7.721151615767561,7
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"CIBC Mellon",7.649326193968468,8
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"KPMG Canada",3.375221420936989,9
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"OMERS",8.384528335356164,10
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"CPP Investments",4.2502676756978435,11
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"RBC Capital Markets",2.5009351117033694,12
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Employers,"Wealthsimple",18.17624124291352,13
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Jobs,"Software Engineer",3.0620109845297296,1
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Jobs,"Mortgage Agent",2.96465139266832,2
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Jobs,"Financial Advisor",2.576143996802945,3
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Jobs,"Business Analyst",2.411402036551598,4
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Jobs,"Customer Service Representative",2.1443229164067032,5
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Jobs,"Financial Analyst",1.6931487397806262,6
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Jobs,"Investment Analyst",1.5682755028170545,7
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Jobs,"Financial Services Representative",1.375838030039265,8
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Jobs,"Project Manager",1.2031298600465412,9
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"JavaScript",-1,1
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Project Planning",-1,2
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Time Management",-1,3
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Business Analysis",-1,4
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Construction Management",-1,5
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Financial Analysis",-1,6
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Investments",-1,7
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Financial Planning",-1,8
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Financial Reporting",-1,9
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Requirements Gathering",-1,10
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Mortgage Lending",-1,11
2020-09-01,ca,"Canada","Greater Toronto Area, Canada","Finance",Top Trending Skills,"Residential Mortgages",-1,12
