date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"The University of British Columbia",6.704651959668366,1
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Fraser Health Authority",9.773453212946109,2
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"lululemon",9.109688828824012,3
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Vancouver Coastal Health",6.615078138685908,4
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Amazon",9.048349647899178,5
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Provincial Health Services Authority",8.233465746087102,6
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Simon Fraser University",6.874634823768377,7
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Aritzia",13.452009601727644,8
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Microsoft",10.740122327606247,9
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Atomic Cartoons",17.03860199963739,10
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"KPMG Canada",13.116823053085232,11
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"RBC",4.879697152693347,12
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Teck Resources Limited",10.793957198984225,13
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"ICON Creative Studio",17.998684668471295,14
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Industrial Light & Magic",18.329241882367043,15
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Providence Health Care",6.700506391520602,16
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Bardel Entertainment",30.26673756318993,17
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Amazon Web Services (AWS)",5.968053171994654,18
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Cinesite",39.65996505051274,19
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Employers,"Seaspan ULC",10.194517758561055,20
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Software Engineer",5.085988212504847,1
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Accountant",1.9830019827032672,2
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Teacher",1.8274929540273765,3
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Project Manager",1.7753704945939859,4
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Salesperson",1.5768293654017167,5
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",1.4480892688222877,6
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Animator",1.0222427989638108,7
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Account Manager",0.9330392229504809,8
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Account Executive",0.7762821594157805,9
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",0.7622473672627507,10
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Business Analyst",0.7485174998342418,11
2020-11-01,ca,"Canada","Greater Vancouver Metropolitan Area","All",Top Trending Jobs,"Nurse",0.7038701501995336,12
