date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,cl,"Chile","All","Finance",Top Trending Employers,"Banco Bci",3.6130700599407852,1
2020-03-01,cl,"Chile","All","Finance",Top Trending Employers,"Banco de Chile",3.3826569334048693,2
2020-03-01,cl,"Chile","All","Finance",Top Trending Employers,"ACHS",4.803526198218522,3
2020-03-01,cl,"Chile","All","Finance",Top Trending Employers,"BancoEstado",3.388336030968869,4
2020-03-01,cl,"Chile","All","Finance",Top Trending Employers,"Itaú",4.049981754766774,5
2020-03-01,cl,"Chile","All","Finance",Top Trending Employers,"Banco BICE",6.528682070350539,6
2020-03-01,cl,"Chile","All","Finance",Top Trending Employers,"Mutual de Seguridad",4.328892261832597,7
2020-03-01,cl,"Chile","All","Finance",Top Trending Jobs,"Commercial Associate",5.454339050801452,1
2020-03-01,cl,"Chile","All","Finance",Top Trending Jobs,"Financial Advisor",4.838912544599793,2
2020-03-01,cl,"Chile","All","Finance",Top Trending Jobs,"Software Engineer",3.079991771742798,3
2020-03-01,cl,"Chile","All","Finance",Top Trending Jobs,"Account Executive",2.820960444763826,4
2020-03-01,cl,"Chile","All","Finance",Top Trending Skills,"JavaScript",-1,1
2020-03-01,cl,"Chile","All","Finance",Top Trending Skills,"MySQL",-1,2
2020-03-01,cl,"Chile","All","Finance",Top Trending Skills,"Negotiation",-1,3
2020-03-01,cl,"Chile","All","Finance",Top Trending Skills,"Team Leadership",-1,4
