date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Employers,"ByteDance",11.661794922376338,1
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Employers,"Baidu, Inc.",5.059026168598893,2
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Employers,"Meituan",7.078815770257185,3
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Employers,"Tencent",7.553616469529197,4
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Employers,"DiDi",7.286076123562997,5
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Employers,"JD.COM",4.186274952861824,6
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Employers,"Alibaba Group",7.46697075198644,7
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Employers,"Xiaomi Technology",5.565960875613782,8
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Jobs,"Software Engineer",7.713453357537949,1
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Jobs,"Product Manager",7.013166411515274,2
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Jobs,"Algorithm Engineer",3.9076953049551397,3
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Jobs,"Human Resources Business Partner",3.1697530283425155,4
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Jobs,"Data Analyst",2.3713348975204,5
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Jobs,"Account Manager",2.3636236060106697,6
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Jobs,"Research And Development Engineer",2.1388440975840477,7
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Jobs,"Recruiter",1.7988261716877112,8
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"Java",-1,1
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"Linux",-1,2
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"Account Management",-1,3
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"Merchandising",-1,4
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"Recruiting",-1,5
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"Data Analysis",-1,6
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"Axure RP",-1,7
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"Python (Programming Language)",-1,8
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"Machine Learning",-1,9
2020-09-01,cn,"China","Beijing","Software & IT Services",Top Trending Skills,"C++",-1,10
