date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Employers,"Tencent",3.499868622171006,1
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Employers,"ByteDance",8.00289063934685,2
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Jobs,"Sales Manager",5.6872493029248234,1
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Jobs,"Product Manager",5.364600612307485,2
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Jobs,"Software Engineer",4.8466198281311925,3
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Skills,"Sales Management",-1,1
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Skills,"Merchandising",-1,2
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Skills,"Java",-1,3
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Skills,"Linux",-1,4
2020-12-01,cn,"China","Guangdong","Software & IT Services",Top Trending Skills,"Axure RP",-1,5
