date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Employers,"Vestas",4.393291661293187,1
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Employers,"GRUNDFOS",3.9497141875205144,2
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Employers,"Energinet",5.73793728398378,3
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Employers,"GN Group",11.395224039239139,4
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Employers,"Danfoss",2.4308881039320944,5
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Employers,"BEUMER Group",7.575792901476823,6
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Jobs,"Project Manager",5.834132905728484,1
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Jobs,"Sales Manager",3.099163612586372,2
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Jobs,"Software Engineer",2.564501330455647,3
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Skills,"Project Planning",-1,1
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Skills,"Change Management",-1,2
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Skills,"Sales Management",-1,3
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Skills,"C#",-1,4
2020-04-01,dk,"Denmark","All","Manufacturing",Top Trending Skills,"Business-to-Business (B2B)",-1,5
