date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-07-01,dk,"Denmark","All","Construction",Top Trending Employers,"Kemp & Lauritzen A/S",18.524591103216906,1
2020-07-01,dk,"Denmark","All","Construction",Top Trending Jobs,"Project Manager",14.673205996284302,1
2020-07-01,dk,"Denmark","All","Construction",Top Trending Jobs,"Electrician",6.1461662370084476,2
2020-07-01,dk,"Denmark","All","Construction",Top Trending Jobs,"Construction Manager",5.497904308362259,3
2020-07-01,dk,"Denmark","All","Construction",Top Trending Jobs,"Construction Engineer",4.026332503823961,4
2020-07-01,dk,"Denmark","All","Construction",Top Trending Jobs,"Carpenter",3.7922770088973135,5
2020-07-01,dk,"Denmark","All","Construction",Top Trending Skills,"Project Planning",-1,1
2020-07-01,dk,"Denmark","All","Construction",Top Trending Skills,"Change Management",-1,2
2020-07-01,dk,"Denmark","All","Construction",Top Trending Skills,"Revit",-1,3
2020-07-01,dk,"Denmark","All","Construction",Top Trending Skills,"Electrical Wiring",-1,4
2020-07-01,dk,"Denmark","All","Construction",Top Trending Skills,"Construction Management",-1,5
2020-07-01,dk,"Denmark","All","Construction",Top Trending Skills,"Building Information Modeling (BIM)",-1,6
2020-07-01,dk,"Denmark","All","Construction",Top Trending Skills,"Carpentry",-1,7
