date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Employers,"MentorDanmark",12.064545116953338,1
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Employers,"Odense Kommune",5.155762092010472,2
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Employers,"Aalborg Kommune",4.546131917740183,3
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Employers,"Esbjerg Kommune",8.15244691743815,4
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Jobs,"Project Manager",6.39223963317082,1
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Jobs,"Teacher",4.307635902780918,2
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Skills,"Teaching",-1,1
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Skills,"Project Planning",-1,2
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Skills,"Change Management",-1,3
2020-09-01,dk,"Denmark","All","Nonprofit",Top Trending Skills,"Pedagogy",-1,4
