date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Employers,"Københavns Universitet - University of Copenhagen",7.905517254297114,1
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Employers,"DTU - Technical University of Denmark",9.343179817735791,2
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Employers,"Copenhagen Business School",8.69117398703662,3
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Employers,"IT-Universitetet i København",18.213359806347626,4
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Employers,"Statens Serum Institut",16.094790368055875,5
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Jobs,"Lecturer",18.780161497306032,1
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Jobs,"Teacher",11.053953570054281,2
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Jobs,"Postdoctoral Researcher",8.745293340355877,3
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Jobs,"Professor",4.123095510026448,4
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Skills,"Teaching",-1,1
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Skills,"Pedagogy",-1,2
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Education",Top Trending Skills,"Molecular Biology",-1,3
