date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Employers,"Novo Nordisk",5.7692925755507325,1
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Employers,"Region Hovedstaden",7.827412912803708,2
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Employers,"Rigshospitalet",3.315291024989703,3
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Employers,"Ambu A/S",22.048445494919214,4
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Employers,"FUJIFILM Diosynth Biotechnologies",13.330004948220008,5
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Employers,"Chr. Hansen",6.1730584629234215,6
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Employers,"LEO Pharma",4.034202321132567,7
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Jobs,"Nurse",4.065688064630261,1
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Jobs,"Project Manager",3.9638074516682207,2
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Jobs,"Medical Doctor",2.7166302940894718,3
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Skills,"Project Planning",-1,1
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Skills,"Change Management",-1,2
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Skills,"Nursing",-1,3
2020-10-01,dk,"Denmark","Copenhagen Metropolitan Area","Health Care",Top Trending Skills,"Medical Education",-1,4
