date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Employers,"Aarhus University",4.434069980473051,1
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Employers,"Aarhus Universitetshospital",5.559447391913893,2
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Employers,"Vestas",5.849081908460576,3
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Employers,"City of Aarhus",6.4155849557270095,4
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Jobs,"Project Manager",4.790324838545415,1
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Jobs,"Software Engineer",2.590808076084616,3
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Skills,"Project Planning",-1,1
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Skills,"Change Management",-1,2
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Skills,"C#",-1,3
2020-04-01,dk,"Denmark","Greater Aarhus Area","All",Top Trending Skills,"Strategy",-1,4
