date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,fr,"France","All","Education",Top Trending Employers,"CNRS",7.154276318409465,1
2020-02-01,fr,"France","All","Education",Top Trending Employers,"CEA",4.775672730426658,2
2020-02-01,fr,"France","All","Education",Top Trending Employers,"INSERM",6.907108023054148,3
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Sciences Po",5.983070619351832,4
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Université Paris-Saclay",21.291284377273524,5
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Aix-Marseille University",8.539122882437992,6
2020-02-01,fr,"France","All","Education",Top Trending Employers,"University of Paris I: Panthéon-Sorbonne",7.095919023799908,7
2020-02-01,fr,"France","All","Education",Top Trending Employers,"EHESP - École des hautes études en santé publique",25.800873388212242,8
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Acadomia",7.698877233403609,9
2020-02-01,fr,"France","All","Education",Top Trending Employers,"completude",11.810527419952345,10
2020-02-01,fr,"France","All","Education",Top Trending Employers,"OpenClassrooms",9.070881293125751,11
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Inria",8.061775221814383,12
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Université Grenoble Alpes",5.775165493569598,13
2020-02-01,fr,"France","All","Education",Top Trending Employers,"emlyon business school",10.104586695252829,14
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Université Paris Dauphine - PSL",5.579383863172073,15
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Université Côte d'Azur",5.723888428051594,16
2020-02-01,fr,"France","All","Education",Top Trending Employers,"HEC Paris",7.601313620008796,17
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Université de Bordeaux",4.293164344854955,18
2020-02-01,fr,"France","All","Education",Top Trending Employers,"Université Paris-Est Créteil (UPEC)",6.13313755672176,19
2020-02-01,fr,"France","All","Education",Top Trending Employers,"University of Montpellier",4.971793385086314,20
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Teacher",10.868263686472844,1
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Postdoctoral Researcher",7.087030540766011,2
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Professor",4.659113234796188,3
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Education Instructor",4.383999953855823,4
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Research Engineer",3.7876024549278853,5
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Lecturer",3.5868340035410546,6
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Project Manager",2.9493138805113417,7
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Communications Manager",2.404333918569547,8
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Development Engineer",1.0598150038983285,9
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Project Associate",0.8565838301167,10
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Treasurer",0.8170424336862201,11
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Design Engineer",0.8126061863604989,12
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Teaching Aide",0.7933075889784249,13
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Research And Development Engineer",0.7059960075487606,14
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Relationship Manager",0.6707256287328638,15
2020-02-01,fr,"France","All","Education",Top Trending Jobs,"Learning Manager",0.66444070876901,16
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Project Management",-1,1
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Teaching",-1,2
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Social Media",-1,3
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Internal Communications",-1,4
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Java",-1,5
2020-02-01,fr,"France","All","Education",Top Trending Skills,"JavaScript",-1,6
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Training Facilitation",-1,7
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Research and Development (R&D)",-1,8
2020-02-01,fr,"France","All","Education",Top Trending Skills,"MATLAB",-1,9
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Team Leadership",-1,10
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Molecular Biology",-1,11
2020-02-01,fr,"France","All","Education",Top Trending Skills,"CATIA",-1,12
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Team Spirit",-1,13
2020-02-01,fr,"France","All","Education",Top Trending Skills,"Instructional Design",-1,14
