date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,fr,"France","All","Entertainment",Top Trending Employers,"Disneyland Paris",3.1477647975825147,1
2020-04-01,fr,"France","All","Entertainment",Top Trending Employers,"CANAL+ Group",2.489242075980359,2
2020-04-01,fr,"France","All","Entertainment",Top Trending Employers,"Ubisoft",2.669207426876869,3
2020-04-01,fr,"France","All","Entertainment",Top Trending Employers,"France Télévisions",1.733396079936989,4
2020-04-01,fr,"France","All","Entertainment",Top Trending Jobs,"Project Manager",3.297336227791049,1
2020-04-01,fr,"France","All","Entertainment",Top Trending Jobs,"Journalist",3.2954970184879335,2
2020-04-01,fr,"France","All","Entertainment",Top Trending Jobs,"Filmmaker",2.555393939104277,3
2020-04-01,fr,"France","All","Entertainment",Top Trending Jobs,"Communications Manager",2.030269150813013,4
2020-04-01,fr,"France","All","Entertainment",Top Trending Skills,"Project Management",-1,1
2020-04-01,fr,"France","All","Entertainment",Top Trending Skills,"Social Media",-1,2
2020-04-01,fr,"France","All","Entertainment",Top Trending Skills,"Internal Communications",-1,3
2020-04-01,fr,"France","All","Entertainment",Top Trending Skills,"Journalism",-1,4
2020-04-01,fr,"France","All","Entertainment",Top Trending Skills,"Digital Media",-1,5
2020-04-01,fr,"France","All","Entertainment",Top Trending Skills,"Film",-1,6
2020-04-01,fr,"France","All","Entertainment",Top Trending Skills,"Video",-1,7
