date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Project Manager",5.849162356889933,1
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Journalist",3.9484635206675707,2
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Editor",3.8096052915891994,3
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Writer",3.214575276581746,4
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Art Director",2.4634902788820194,5
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Salesperson",2.0251795305758087,6
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Account Manager",1.8411068393583152,7
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Community Manager",1.7331136491458006,8
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Graphic Designer",1.696583343046593,9
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Customer Director",1.4172768648592122,10
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Account Director",1.337422644036131,11
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Web Developer",1.2809972544016839,12
2020-04-01,fr,"France","All","Media & Communications",Top Trending Jobs,"Translator",1.2495754348185515,13
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Project Management",-1,1
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Adobe Illustrator",-1,2
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Adobe InDesign",-1,3
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"JavaScript",-1,4
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"PHP",-1,5
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Journalism",-1,6
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Art Direction",-1,7
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Social Media",-1,8
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Sales Prospecting",-1,9
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Writing",-1,10
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Translation",-1,11
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Digital Media",-1,12
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Community Management",-1,13
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Marketing Strategy",-1,14
2020-04-01,fr,"France","All","Media & Communications",Top Trending Skills,"Digital Marketing",-1,15
