date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Airbus",1.2513495908750294,1
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"NAVAL GROUP",3.0631824975635573,2
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Safran",0.871828679740636,3
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Groupe Renault",1.3823601642075471,4
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Eiffage Énergie Systèmes",4.007917664749976,5
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Air Liquide",2.2357635348480827,6
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Danone",3.5857418226088837,7
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Dalkia",3.048371532659814,8
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Valeo",1.257295480365268,9
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Nexter",5.270458508775443,10
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"MBDA",3.7989202172637357,11
2020-05-01,fr,"France","All","Manufacturing",Top Trending Employers,"Assystem",2.4102125752429298,12
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Project Manager",3.68305742435877,1
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Business Manager",2.4480159335183873,2
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Salesperson",2.230846916625079,3
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Business Account Executive",1.6662676883527578,4
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Human Resources Manager",1.6360712507687736,5
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Sales Advisor",1.441668460014304,6
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Sales Manager",1.3408323884522306,7
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Maintenance Technician",1.2596468414372437,8
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"General Manager",1.1404433488022,9
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Buyer",1.1049038074014943,10
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Product Manager",0.9819330329749208,11
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Communications Manager",0.8675470958424785,12
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Sales Executive",0.8559829476905093,13
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Technical Sales Representative",0.8441141779484438,14
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Production Manager",0.7403279114379553,15
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Software Engineer",0.7177587103097206,16
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Accountant",0.7110912956649429,17
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Research Analyst",0.7027513905379537,18
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Business Development Manager",0.6867230976055865,19
2020-05-01,fr,"France","All","Manufacturing",Top Trending Jobs,"Development Engineer",0.6585767926609961,20
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Project Management",-1,1
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Social Media",-1,2
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Recruiting",-1,3
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Java",-1,4
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Negotiation",-1,5
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Git",-1,6
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Marketing Strategy",-1,7
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Sales Management",-1,8
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Internal Communications",-1,9
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Sales Prospecting",-1,10
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Account Reconciliation",-1,11
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"JavaScript",-1,12
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Commerce",-1,13
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Maintenance & Repair",-1,14
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"AutoCAD",-1,15
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Maintenance",-1,16
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Continuous Improvement",-1,17
2020-05-01,fr,"France","All","Manufacturing",Top Trending Skills,"Production Management",-1,18
