date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"Greater Paris University Hospitals - AP-HP",3.3361857550076985,1
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"Sanofi",2.316412721193198,2
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"Korian",5.420642599657868,3
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"Sanofi Pasteur",3.8289008135090112,4
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"LFB",10.285500466002338,5
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"Pierre Fabre Group",3.9570842705637737,6
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"bioMérieux",3.675461659772002,7
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"Hospices Civils de Lyon",3.7586504730922092,8
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"Servier",3.2521832374782074,9
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"ORPEA",3.888707149155668,10
2020-06-01,fr,"France","All","Health Care",Top Trending Employers,"GSK",4.045764198174379,11
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Nurse",4.315993741178473,1
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Laboratory Technician",2.8123835578044134,2
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Project Manager",2.3792401404587795,3
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Pharmacist",2.0427359173620143,4
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Clinical Research Associate",1.8317479140824717,5
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Medical Secretary",1.6006447925805654,6
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Health Services Manager",1.5853267156250208,7
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Psychologist",1.4521403280620657,8
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Human Resources Manager",1.3970783199313965,9
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Medical Sales Representative",1.3590881861367843,10
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Medical Doctor",1.2006583271076225,11
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Product Manager",1.1691273033893073,12
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Business Manager",0.9736840224240454,13
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Quality Assurance Manager",0.7630109945222631,14
2020-06-01,fr,"France","All","Health Care",Top Trending Jobs,"Clinical Psychologist",0.6923505282648035,15
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Project Management",-1,1
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Recruiting",-1,2
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Marketing Strategy",-1,3
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Nursing",-1,4
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Psychotherapy",-1,5
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Laboratory Skills",-1,6
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Product Launch",-1,7
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Pharmaceutics",-1,8
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Quality Management",-1,9
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Clinical Trials",-1,10
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Pharmacy",-1,11
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Good Clinical Practice (GCP)",-1,12
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Microbiology",-1,13
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Clerical Skills",-1,14
2020-06-01,fr,"France","All","Health Care",Top Trending Skills,"Appointment Scheduling",-1,15
