date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Pôle emploi",6.189573161520434,1
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Ministère de l'Éducation nationale",1.6945002877235695,2
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Ministère de la Justice",4.757699041870034,3
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Armée de Terre",5.895615081881361,4
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Ministère de l'Intérieur",3.816251639663944,5
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Ville de Paris",4.840378300311535,6
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Ville de Lyon",13.962598917521513,7
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Groupe Caisse des Dépôts",3.5337410942094944,8
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Assemblée nationale",4.995995196275318,9
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"ministère-de-l'économie-et-des-finances",5.761803359112833,10
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Ministère de l'Environnement",3.7137368745546206,11
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"grand-lyon-la-métropole",7.7064278519033165,12
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"OECD - OCDE",3.2182075554181164,13
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"EFS",6.457838377613942,14
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Ministère des Affaires étrangères français",4.547817420013716,15
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Direction générale des Finances publiques",4.100195969997478,16
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"Bordeaux Métropole",6.433422815563379,17
2020-08-01,fr,"France","All","Public Administration",Top Trending Employers,"ministère-des-solidarites-de-la-santé",7.35714086513913,18
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Mayor",8.459963165824506,1
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Councilman",7.950682887113847,2
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Project Manager",6.20085024518906,3
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Employment Consultant",2.472012509191821,4
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Community Advisor",2.2572348752575566,5
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Primary School Teacher",2.157406802029016,6
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Teacher",1.8144639201417587,7
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Administrative Officer",1.7263330902655825,8
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Communications Manager",1.5727856222857675,9
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Legal Officer",1.3668361153319328,10
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Human Resources Manager",1.1901211381376013,11
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Professor",1.1079985850871479,12
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Project Associate",1.100701776245839,13
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Civil Servant",1.0285951439959098,14
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Research Analyst",0.9607497112945153,15
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Reservist",0.9338406876784805,16
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Mission Head",0.8202739868101266,17
2020-08-01,fr,"France","All","Public Administration",Top Trending Jobs,"Front Desk Associate",0.8047223951033988,18
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Project Management",-1,1
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Social Media",-1,2
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Teaching",-1,3
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Recruiting",-1,4
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Internal Communications",-1,5
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Legal Research",-1,6
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Legal Advice",-1,7
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"AutoCAD",-1,8
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Accompaniment",-1,9
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Pedagogy",-1,10
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Administration",-1,11
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Team Spirit",-1,12
2020-08-01,fr,"France","All","Public Administration",Top Trending Skills,"Auditing",-1,13
