date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-01-01,fr,"France","All","All",Top Trending Employers,"AFPA",8.70168199559044,1
2021-01-01,fr,"France","All","All",Top Trending Employers,"L'Oréal",4.292998409841891,2
2021-01-01,fr,"France","All","All",Top Trending Employers,"BNP Paribas",1.3381963187589192,3
2021-01-01,fr,"France","All","All",Top Trending Employers,"Pôle emploi",3.183827117287087,4
2021-01-01,fr,"France","All","All",Top Trending Employers,"Greater Paris University Hospitals - AP-HP",4.561149204617045,5
2021-01-01,fr,"France","All","All",Top Trending Employers,"Ministère de la Justice",8.054609284906519,6
2021-01-01,fr,"France","All","All",Top Trending Employers,"E.Leclerc",5.017491349105184,7
2021-01-01,fr,"France","All","All",Top Trending Employers,"DECATHLON FRANCE",3.322760109618375,8
2021-01-01,fr,"France","All","All",Top Trending Employers,"Capgemini",2.1456452682977334,9
2021-01-01,fr,"France","All","All",Top Trending Employers,"CNRS",5.106228043883239,10
2021-01-01,fr,"France","All","All",Top Trending Employers,"Orange",1.3977772320418473,11
2021-01-01,fr,"France","All","All",Top Trending Employers,"EDF",1.5044546087678292,12
2021-01-01,fr,"France","All","All",Top Trending Employers,"Leroy Merlin",4.75413096293731,13
2021-01-01,fr,"France","All","All",Top Trending Employers,"Le Groupe La Poste",2.5395435883818287,14
2021-01-01,fr,"France","All","All",Top Trending Employers,"AXA",2.811283380087757,15
2021-01-01,fr,"France","All","All",Top Trending Employers,"OpenClassrooms",16.002414330466355,16
2021-01-01,fr,"France","All","All",Top Trending Employers,"Ministère de l'Intérieur",5.146029196864267,17
2021-01-01,fr,"France","All","All",Top Trending Employers,"Total",2.2272024997491227,18
2021-01-01,fr,"France","All","All",Top Trending Employers,"Auchan Retail",2.544002705170235,19
2021-01-01,fr,"France","All","All",Top Trending Employers,"Mazars",6.8257133478624015,20
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Project Manager",4.564019016289605,1
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Salesperson",2.176717158952,2
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Communications Manager",2.0022686069456874,3
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Business Manager",1.3567685211536382,4
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Accountant",1.1881024763002361,5
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Education Instructor",1.163130688461107,6
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Product Manager",1.1391690020542868,7
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Business Account Executive",1.0107985982813368,8
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Real Estate Consultant",1.003128848894918,9
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Human Resources Manager",1.0011845080718509,10
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Project Associate",0.9556150332171399,11
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Legal Officer",0.9495779487497653,12
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Software Engineer",0.9458868951789068,13
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Attorney",0.8676976983866654,14
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Web Developer",0.776665741212459,15
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Community Manager",0.7742657235522924,16
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Sales Advisor",0.7718188423682119,17
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Sales Consultant",0.757303331005442,18
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Teacher",0.7372360953998304,19
2021-01-01,fr,"France","All","All",Top Trending Jobs,"Commercial Associate",0.7076860259161086,20
2021-01-01,fr,"France","All","All",Top Trending Skills,"Project Management",-1,1
2021-01-01,fr,"France","All","All",Top Trending Skills,"Teaching",-1,2
2021-01-01,fr,"France","All","All",Top Trending Skills,"Social Media",-1,3
2021-01-01,fr,"France","All","All",Top Trending Skills,"Litigation",-1,4
2021-01-01,fr,"France","All","All",Top Trending Skills,"Recruiting",-1,5
2021-01-01,fr,"France","All","All",Top Trending Skills,"JavaScript",-1,6
2021-01-01,fr,"France","All","All",Top Trending Skills,"Java",-1,7
2021-01-01,fr,"France","All","All",Top Trending Skills,"Legal Advice",-1,8
2021-01-01,fr,"France","All","All",Top Trending Skills,"PHP",-1,9
2021-01-01,fr,"France","All","All",Top Trending Skills,"Git",-1,10
2021-01-01,fr,"France","All","All",Top Trending Skills,"Marketing Strategy",-1,11
2021-01-01,fr,"France","All","All",Top Trending Skills,"Internal Communications",-1,12
2021-01-01,fr,"France","All","All",Top Trending Skills,"Negotiation",-1,13
2021-01-01,fr,"France","All","All",Top Trending Skills,"Legal Research",-1,14
2021-01-01,fr,"France","All","All",Top Trending Skills,"Sales Prospecting",-1,15
2021-01-01,fr,"France","All","All",Top Trending Skills,"Account Reconciliation",-1,16
2021-01-01,fr,"France","All","All",Top Trending Skills,"Merchandising",-1,17
2021-01-01,fr,"France","All","All",Top Trending Skills,"Training Facilitation",-1,18
2021-01-01,fr,"France","All","All",Top Trending Skills,"Real Estate Transactions",-1,19
2021-01-01,fr,"France","All","All",Top Trending Skills,"Community Management",-1,20
