date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"IAD France",2.8469867052620876,1
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"IAD France",2.673440743868795,2
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"ORPI",4.25834850360435,3
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"safti",4.155679256157975,4
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"Nexity",2.098785283040708,5
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"FONCIA",2.2384090381025,6
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"ORPI",3.7732050886437234,7
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"safti",3.8007076870347127,8
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"FONCIA",2.0524431641804823,9
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"Nexity",1.8109700721259188,10
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"CENTURY 21®",4.120964892746395,11
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"stéphane-plaza-immobilier",4.117958862366724,12
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"CENTURY 21®",3.486839193506647,13
2021-04-01,fr,"France","All","Real Estate",Top Trending Employers,"stéphane-plaza-immobilier",3.5908539811602607,14
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Real Estate Consultant",20.497831084640055,1
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Real Estate Consultant",20.32382398356159,2
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Real Estate Agent",12.497773898091255,3
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Real Estate Agent",12.294110238386365,4
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Commercial Associate",8.398432409396628,5
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Commercial Associate",7.744121309710694,6
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Program Manager",2.610322997753584,7
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Program Manager",2.4659749410671217,8
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Project Manager",2.322640026615499,9
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Rental Manager",2.055721975092935,10
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Project Manager",2.0269347471019414,11
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Communications Manager",1.8687055842525686,12
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Rental Manager",1.8442504207454284,13
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Communications Manager",1.770304360785268,14
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Accountant",1.6794741971143463,15
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Accountant",1.4221791784376225,16
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Legal Officer",1.4139841970759566,17
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Salesperson",1.3621586624858126,18
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Salesperson",1.2861873236673391,19
2021-04-01,fr,"France","All","Real Estate",Top Trending Jobs,"Legal Officer",1.2522633074856844,20
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Project Management",-1,1
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Project Management",-1,2
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Project Management",-1,3
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Project Management",-1,4
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Negotiation",-1,5
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Negotiation",-1,6
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Negotiation",-1,7
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Negotiation",-1,8
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Social Media",-1,9
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Social Media",-1,10
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Social Media",-1,11
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Social Media",-1,12
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Internal Communications",-1,13
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Internal Communications",-1,14
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Internal Communications",-1,15
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Internal Communications",-1,16
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Legal Research",-1,17
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Legal Research",-1,18
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Legal Research",-1,19
2021-04-01,fr,"France","All","Real Estate",Top Trending Skills,"Legal Research",-1,20
