date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Employers,"McDonald's",4.755317539561181,1
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Employers,"franceloc",38.24473765411579,2
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Employers,"Accor",2.1492387878995967,3
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Employers,"Fédération Française de Tennis",11.89512884509632,4
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Employers,"Club Med",4.513688157467586,5
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Employers,"Cheval Blanc",17.99236800251659,6
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Employers,"paris-2024-olympic-and-paralympic-games-bid",9.575261316886156,7
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Employers,"Air France",0.7650401048478052,8
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Employers,"FDJ - La Française des Jeux",3.3322466013243597,9
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Receptionist",11.085482338508136,1
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Food Server",4.985286541378095,2
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Server",3.7412784104255477,3
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Chef",3.0205591640855474,4
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Communications Manager",2.564959051153131,5
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Project Manager",2.0643507859910244,6
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Bartender",1.8480152884859102,7
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Community Manager",1.781933697166396,8
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Nanny",1.7564336859190535,9
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Travel Advisor",1.6965484746578177,10
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Food Service Worker",1.6708745887669094,11
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Salesperson",1.315776055600923,12
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Food Clerk",1.2330478410824222,13
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Hotel Receptionist",1.1172604915433944,14
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Spa Therapist",1.0597906661253298,15
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Cook",0.9832623524007844,16
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Animator",0.8985417019483627,17
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Housekeeper",0.8808381668367162,18
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Restaurant Manager",0.8445620217403887,19
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Jobs,"Busser",0.8269876737805422,20
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Project Management",-1,1
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Negotiation",-1,2
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Social Media",-1,3
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Internal Communications",-1,4
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Culinary Skills",-1,5
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Catering",-1,6
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Community Management",-1,7
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Receptionist Duties",-1,8
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Team Spirit",-1,9
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Bartending",-1,10
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Cooking",-1,11
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Cocktails",-1,12
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Restaurant Management",-1,13
2021-06-01,fr,"France","All","Recreation & Travel",Top Trending Skills,"Hotel Management",-1,14
