date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Employers,"Cdiscount",4.518828240788758,1
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Jobs,"Project Manager",4.436866938203046,1
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Jobs,"Communications Manager",3.2880714235010005,2
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Jobs,"Salesperson",2.6852714245509652,3
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Jobs,"Real Estate Consultant",1.4862944761011698,4
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Jobs,"Education Instructor",1.1901280301812716,5
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Skills,"Project Management",-1,1
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Skills,"Teaching",-1,2
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Skills,"Social Media",-1,3
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Skills,"Internal Communications",-1,4
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Skills,"Sales Prospecting",-1,5
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Skills,"Training Facilitation",-1,6
2021-01-01,fr,"France","Greater Bordeaux Metropolitan Area","All",Top Trending Skills,"Real Estate Transactions",-1,7
