date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"BNP Paribas",4.55631872237349,1
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Natixis",6.060982167398066,2
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"AXA",6.4345206374094115,3
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Crédit Agricole CIB",8.291071903638267,4
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"LCL",7.447086490795607,5
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Bpifrance",13.351435861481145,6
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"La Banque Postale",7.792409710293541,7
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"KPMG France",9.750458489235776,8
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Allianz France",10.036168412259881,9
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Societe Generale Corporate and Investment Banking - SGCIB",4.09717263143424,10
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"HSBC",5.322232641595186,11
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Banque de France",7.8391994505485645,12
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"AXA en France",8.0489052006453,13
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Amundi",10.4712791171067,14
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Groupe BPCE",7.5676588452130185,15
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Generali",9.264884949037066,16
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"crédit-agricole-d'ile-de-france",8.394528255466673,17
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"BNP Paribas Cardif",6.590995215779223,18
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"AG2R LA MONDIALE",9.0572402535727,19
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Employers,"Caisse d'Epargne Ile-de-France",7.706968172985562,20
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Project Manager",4.953899432753357,1
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Client Advisor",2.8798289850942784,2
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Financial Advisor",2.4004810402583527,3
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Legal Officer",2.2682301301021663,4
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Wealth Management Advisor",2.017966632223103,5
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Communications Manager",1.7769952638583215,6
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Financial Analyst",1.6700484302016712,7
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Research Analyst",1.363943753820384,8
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Project Associate",1.3498148119064,9
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Customer Associate",1.329384384498303,10
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Business Account Executive",1.3201646450748328,11
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Business Analyst",1.1493504550853673,12
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Accountant",1.147152082371755,13
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Data Scientist",1.1288564978510973,14
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Financial Auditor",1.0499217538136505,15
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Sales Advisor",1.0483032000779196,16
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Data Analyst",0.9678336171643296,17
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Product Manager",0.8897691151756917,18
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Compliance Officer",0.8863862604441176,19
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Jobs,"Software Engineer",0.8732631224809588,20
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Skills,"Project Management",-1,1
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Skills,"Social Media",-1,2
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Skills,"Java",-1,3
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Skills,"Git",-1,4
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Skills,"Marketing Strategy",-1,5
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Skills,"Internal Communications",-1,6
2020-10-01,fr,"France","Greater Paris Metropolitan Region","Finance",Top Trending Skills,"Negotiation",-1,7
