date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Employers,"Total",9.216234738042788,1
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Employers,"EDF",6.508274677324947,2
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Employers,"GRDF",7.077399638750902,3
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Employers,"Framatome",7.673094760760469,4
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Employers,"Réseau de Transport d'Électricité",5.822103914893424,5
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Employers,"Orano",9.535576458260548,6
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Employers,"grtgaz",9.327203922683927,7
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Jobs,"Project Manager",5.979077874598236,1
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Jobs,"Communications Manager",3.8580752569554817,2
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Skills,"Project Management",-1,1
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Skills,"Social Media",-1,2
2020-11-01,fr,"France","Greater Paris Metropolitan Region","Energy & Mining",Top Trending Skills,"Internal Communications",-1,3
