date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"BNP Paribas",1.7388027792552527,1
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Wavestone",8.523771008691199,2
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Thales",2.8938541639804765,3
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Greater Paris University Hospitals - AP-HP",3.076974419864984,4
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Safran",2.0043849932386877,5
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"EDF",2.223085482886746,6
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"OpenClassrooms",16.97758399566796,7
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Bouygues Telecom",4.406484358829153,8
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Capgemini",2.8631316062168675,9
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"L'Oréal",1.7698413169977625,10
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Sanofi",2.677076162751473,11
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"AXA",3.035150972889592,12
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Hermès",5.144859020681702,13
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Ville de Paris",3.7747723746517887,14
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Accenture",4.213429125043473,15
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Natixis",2.428007341975651,16
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Renault Group",1.7684316566367548,17
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Jellysmack",42.03573093904105,18
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"CEA",5.524876880029648,19
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Employers,"Ministère de l'Intérieur",4.381171917086204,20
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Project Manager",4.527735990186066,1
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Communications Manager",1.8313133325587496,2
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Software Engineer",1.3987260017855696,3
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Business Manager",1.3313449718103518,4
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Community Manager",1.1419449943768805,5
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Salesperson",1.0710842864795074,6
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Data Scientist",1.0244198835499494,7
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Full Stack Engineer",0.8905140702067833,8
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Project Associate",0.8849828223437909,9
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Product Manager",0.8659601143977886,10
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Human Resources Manager",0.8124781166347348,11
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Account Manager",0.7990127774673306,12
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Legal Officer",0.7935916844715232,13
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Research Analyst",0.7921635023604254,14
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Recruiter",0.7615179989703551,15
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Marketing Manager",0.7293541453690098,16
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Data Analyst",0.6800240868311055,17
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Web Developer",0.591275913783307,18
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Mission Head",0.5884418157079229,19
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Jobs,"Business Development Manager",0.5874794777812048,20
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Project Management",-1,1
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Negotiation",-1,2
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Social Media",-1,3
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Recruiting",-1,4
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"JavaScript",-1,5
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Java",-1,6
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"PHP",-1,7
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Git",-1,8
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Marketing Strategy",-1,9
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Internal Communications",-1,10
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Legal Research",-1,11
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Legal Advice",-1,12
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Machine Learning",-1,13
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Account Management",-1,14
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Node.js",-1,15
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Community Management",-1,16
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"AngularJS",-1,17
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"AutoCAD",-1,18
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"Apache Spark",-1,19
2021-05-01,fr,"France","Greater Paris Metropolitan Region","All",Top Trending Skills,"R (Programming Language)",-1,20
