date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Employers,"Safran",2.054134575511478,1
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Employers,"EDF",2.1824381039713114,2
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Employers,"Renault Group",1.805149818542563,3
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Employers,"Air Liquide",3.1210428640131425,4
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Employers,"MBDA",6.729029642971332,5
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Employers,"dassault-aviation",4.528230466944795,6
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Project Manager",4.722009799142957,1
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Business Manager",2.7345667320269955,2
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Salesperson",2.269462050181539,3
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Sales Advisor",1.4765999411626394,4
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Communications Manager",1.4200868182234438,5
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Sales Manager",1.3541836448364355,6
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Development Engineer",1.2202277802948394,7
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Software Engineer",1.1713682112718413,8
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Business Development Manager",1.1313343295659768,9
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Data Scientist",1.117807960987088,10
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Jobs,"Product Manager",1.100874659395253,11
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Project Management",-1,1
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Negotiation",-1,2
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Social Media",-1,3
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Java",-1,4
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Git",-1,5
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Sales Management",-1,6
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Marketing Strategy",-1,7
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Internal Communications",-1,8
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"JavaScript",-1,9
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Machine Learning",-1,10
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Commerce",-1,11
2021-05-01,fr,"France","Greater Paris Metropolitan Region","Manufacturing",Top Trending Skills,"Apache Spark",-1,12
